Name,Age,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,order
G. Bale,27,89,89,93,65,77,65,87,85,87,86,89,87,85,15,15,11,5,6,86,59,85,80,90,51,76,86,87,86,91,52,95,76,55,80,79,76,86,67,71,87,81,86,72,67,81,71,87,87,87,87,74,86,72,67,81,71,87,87,87,87,74,87,16
S. Agüero,29,89,89,90,63,86,91,89,90,70,82,89,90,72,13,15,6,11,14,68,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85,85,44,54,87,75,85,52,44,75,54,87,84,86,86,57,85,52,44,75,54,87,84,86,86,57,86,17
G. Chiellini,32,89,89,68,92,59,64,57,82,58,60,58,33,31,3,3,2,4,3,84,88,89,59,49,92,50,28,82,59,78,90,78,68,92,91,50,45,55,86,76,55,60,55,78,86,60,76,55,58,59,56,75,55,78,86,60,76,55,58,59,56,75,59,18
G. Buffon,39,89,89,49,38,55,49,28,70,13,20,26,15,13,89,88,74,90,84,13,28,75,35,13,10,22,12,80,37,39,11,43,39,11,69,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
P. Dybala,23,88,93,88,48,91,85,93,84,80,88,92,85,84,5,4,4,5,8,68,24,75,71,88,14,86,84,84,83,82,20,84,83,20,65,84,88,86,43,55,86,78,86,55,43,78,55,86,86,83,87,60,86,55,43,78,55,86,86,83,87,60,83,20
J. Oblak,24,88,93,43,34,67,49,16,55,13,13,12,11,14,84,90,77,87,84,15,19,76,26,12,14,11,11,84,29,22,18,60,41,12,78,55,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
A. Griezmann,26,88,91,87,69,90,80,86,86,82,84,87,88,75,14,8,14,13,14,80,35,87,75,82,23,71,91,90,79,81,11,86,76,22,61,76,87,84,48,57,85,76,84,56,48,76,57,85,84,85,86,60,84,56,48,76,57,85,84,85,86,60,85,22
Thiago,26,88,90,77,57,90,86,92,83,72,85,90,69,77,6,11,7,9,13,58,78,75,90,82,49,75,83,84,91,75,62,68,75,64,59,86,90,86,66,76,83,85,86,72,66,85,76,83,83,77,83,75,86,72,66,85,76,83,83,77,83,75,77,23
P. Aubameyang,28,88,88,95,43,77,70,82,84,77,78,82,88,74,6,9,15,9,9,79,48,77,64,79,28,79,89,87,77,81,36,96,79,25,77,77,86,82,52,59,84,74,82,62,52,74,59,84,83,85,84,65,82,62,52,74,59,84,83,85,84,65,85,24
L. Bonucci,30,88,88,62,82,60,52,75,84,44,56,69,39,61,2,2,3,2,4,88,90,85,85,65,84,70,38,86,79,74,88,72,73,88,85,74,58,68,86,83,66,75,68,79,86,75,83,66,66,65,63,76,68,79,86,75,83,66,66,65,63,76,65,25
J. Boateng,28,88,88,72,82,58,53,71,86,69,56,67,34,31,7,12,15,6,5,85,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53,67,85,82,66,73,67,81,85,73,82,66,69,65,65,79,67,81,85,73,82,66,69,65,65,79,65,26
D. Godín,31,88,88,62,86,63,58,76,82,55,49,53,42,51,6,8,15,5,15,92,88,89,70,43,87,50,48,85,79,67,89,67,67,86,80,52,47,63,86,80,62,69,63,79,86,69,80,62,63,64,61,76,63,79,86,69,80,62,63,64,61,76,64,27
M. Hummels,28,88,88,62,66,64,58,77,91,64,65,68,55,53,15,6,10,5,6,89,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60,71,85,83,69,77,71,80,85,77,83,69,70,69,68,78,71,80,85,77,83,69,70,69,68,78,69,28
M. Özil,28,88,88,75,48,83,70,90,78,82,84,86,74,79,6,14,10,6,14,54,24,52,84,76,22,67,83,87,89,70,19,68,69,16,57,92,77,85,41,57,82,79,85,52,41,79,57,82,83,76,83,58,85,52,41,79,57,82,83,76,83,58,76,29
H. Lloris,30,88,88,65,31,55,54,34,61,13,11,10,10,10,88,86,68,82,90,10,27,74,50,14,12,40,10,85,50,23,18,63,41,10,43,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Thiago Silva,32,88,88,70,77,74,68,80,83,60,61,68,38,67,9,12,5,9,10,82,89,93,81,71,90,71,59,84,79,74,88,74,74,89,81,74,63,72,85,83,69,77,72,81,85,77,83,69,70,67,68,79,72,81,85,77,83,69,70,67,68,79,67,31
Z. Ibrahimović,35,88,88,63,84,81,41,88,91,76,82,82,87,82,13,15,10,9,12,80,20,69,76,85,15,91,86,86,84,91,27,67,71,41,88,83,90,83,52,60,83,78,83,54,52,78,60,83,80,84,82,58,83,54,52,78,60,83,80,84,82,58,84,32
A. Robben,33,88,88,87,47,89,91,89,86,80,87,92,85,81,10,8,11,5,15,51,39,61,71,88,29,80,85,87,84,87,26,86,68,26,67,83,86,86,47,59,86,78,86,58,47,78,59,86,85,82,87,63,86,58,47,78,59,86,85,82,87,63,82,33
N. Kanté,26,87,90,82,90,83,90,79,84,67,49,77,65,49,15,12,10,7,10,54,91,79,79,66,75,54,71,87,84,72,85,80,94,89,77,76,56,78,81,84,76,81,78,82,81,81,84,76,78,72,76,83,78,82,81,81,84,76,78,72,76,83,72,34
M. Verratti,24,87,91,69,89,87,94,88,91,72,73,90,58,64,12,12,15,15,10,55,86,64,89,58,76,64,71,87,90,56,79,62,77,84,56,88,64,82,77,84,77,85,82,79,77,85,84,77,80,69,78,80,82,79,77,85,84,77,80,69,78,80,69,35
P. Pogba,24,87,92,72,75,76,61,89,85,78,84,86,71,82,5,6,2,4,3,73,68,85,88,82,66,76,83,84,86,90,66,76,91,68,91,86,85,84,74,79,83,84,84,75,74,84,79,83,83,81,82,77,84,75,74,84,79,83,83,81,82,77,81,36
C. Eriksen,25,87,91,77,44,78,82,87,87,86,85,84,76,87,9,14,7,7,6,52,55,57,86,84,38,67,81,83,89,80,22,74,90,56,57,90,74,85,53,68,82,83,85,64,53,83,68,82,84,77,83,69,85,64,53,83,68,82,84,77,83,69,77,37
A. Vidal,30,87,87,76,93,75,77,83,86,76,76,76,77,68,4,2,4,2,4,81,85,82,82,85,76,81,80,89,84,86,85,74,91,89,77,80,78,81,84,85,81,83,81,83,84,83,85,81,80,81,80,83,81,83,84,83,85,81,80,81,80,83,81,38
E. Cavani,30,87,87,75,84,81,59,80,83,70,75,80,83,74,12,5,13,13,10,88,48,88,50,78,24,84,92,91,78,85,27,78,92,45,74,77,84,80,58,62,82,74,80,61,58,74,62,82,79,84,80,64,80,61,58,74,62,82,79,84,80,64,84,39
Marcelo,29,87,87,77,84,77,82,88,85,90,80,84,67,67,12,5,5,5,9,71,83,77,76,66,80,59,75,87,82,83,87,79,81,85,77,75,54,79,82,82,79,80,79,84,82,80,82,79,81,77,80,84,79,84,82,80,82,79,81,77,80,84,77,40
M. Hamšík,29,87,87,72,56,76,66,87,84,78,80,86,78,72,8,6,4,14,14,74,72,71,82,83,60,70,88,88,88,82,62,75,85,73,69,86,79,85,71,77,84,85,85,75,71,85,77,84,83,81,83,77,85,75,71,85,77,84,83,81,83,77,81,41
I. Rakitić,29,87,87,67,67,72,66,87,81,81,88,84,83,84,14,11,12,5,9,58,69,44,92,88,52,78,80,79,87,84,53,64,76,65,63,87,80,83,64,74,82,84,83,69,64,84,74,82,82,78,81,72,83,69,64,84,74,82,82,78,81,72,78,42
David Silva,31,87,87,72,51,92,89,90,92,83,82,84,71,75,1,1,1,1,1,54,43,66,79,73,25,73,81,84,91,71,29,65,78,44,56,92,79,84,50,64,81,81,84,59,50,81,64,81,82,75,82,65,84,59,50,81,64,81,82,75,82,65,75,43
S. Handanovič,32,87,87,54,25,42,36,24,62,12,12,18,10,14,87,86,69,87,87,10,22,78,34,19,17,23,12,83,36,22,13,57,41,10,71,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Piqué,30,87,87,55,72,58,42,78,86,57,58,59,64,43,10,11,14,15,8,83,88,74,80,51,86,69,58,84,81,62,86,73,66,87,83,62,57,68,84,81,68,74,68,78,84,74,81,68,68,69,66,76,68,78,84,74,81,68,68,69,66,76,69,45
Iniesta,33,87,87,72,58,79,84,94,89,77,80,90,70,70,6,13,6,13,7,54,66,52,86,71,57,71,84,88,92,65,56,71,58,57,58,94,74,87,63,74,83,84,87,69,63,84,74,83,84,76,84,72,87,69,63,84,74,83,84,76,84,72,76,46
H. Kane,23,86,90,68,74,73,62,82,84,70,71,78,90,66,8,10,11,14,11,83,35,70,67,84,41,84,89,87,75,87,38,74,85,36,86,75,73,79,57,62,82,74,79,60,57,74,62,82,78,84,79,62,79,60,57,74,62,82,78,84,79,62,84,47
J. Rodríguez,25,86,89,77,65,82,75,85,87,88,87,83,82,86,15,15,15,5,14,62,55,54,80,91,25,81,80,84,84,86,30,75,68,42,70,86,91,83,53,64,83,79,83,61,53,79,64,83,82,80,83,65,83,61,53,79,64,83,82,80,83,65,80,48
Isco,25,86,90,74,58,83,85,91,86,72,86,90,88,74,10,8,12,15,6,55,70,64,85,87,25,76,83,79,86,72,51,69,71,73,59,84,64,85,61,71,84,84,85,67,61,84,71,84,82,79,83,70,85,67,61,84,71,84,82,79,83,70,79,49
D. Alaba,25,86,88,86,69,79,77,83,79,82,78,79,63,85,5,7,14,15,9,75,85,82,80,83,81,80,77,84,83,83,83,86,87,83,69,78,68,80,80,82,79,81,80,83,80,81,82,79,81,77,80,84,80,83,80,81,82,79,81,77,80,84,77,50
R. Lukaku,24,86,90,76,72,62,47,75,84,68,72,77,89,66,8,15,14,7,10,87,27,71,68,75,27,82,87,85,71,88,30,89,80,30,93,73,76,77,53,57,80,71,77,56,53,71,57,80,77,84,78,58,77,56,53,71,57,80,77,84,78,58,84,51
Alex Sandro,26,86,88,84,82,79,79,81,82,86,78,82,55,59,7,7,9,12,5,76,82,79,71,72,78,60,70,86,81,80,84,88,93,84,80,70,68,77,81,81,76,78,77,84,81,78,81,76,80,75,78,84,77,84,81,78,81,76,80,75,78,84,75,52
T. Müller,27,86,86,76,57,76,72,82,83,77,81,75,87,59,6,7,11,14,14,82,58,81,68,77,31,60,93,92,81,77,44,78,90,41,67,81,83,81,58,65,83,78,81,66,58,78,65,83,81,83,81,68,81,66,58,78,65,83,81,83,81,68,83,53
Sergio Busquets,28,86,86,48,85,58,55,80,88,62,66,74,60,68,5,8,13,9,13,68,86,66,79,54,81,60,77,82,88,61,80,34,88,85,77,84,44,75,80,83,72,81,75,76,80,81,83,72,73,68,70,77,75,76,80,81,83,72,73,68,70,77,68,54
Coutinho,25,86,89,88,55,92,92,88,85,77,84,88,74,82,12,7,9,14,6,47,30,59,78,86,24,64,83,81,85,80,40,77,80,44,61,87,75,85,49,61,83,79,85,60,49,79,61,83,83,77,84,64,85,60,49,79,61,83,83,77,84,64,77,55
M. Reus,28,86,86,86,49,86,81,85,83,80,90,86,86,84,12,12,13,13,11,49,50,72,80,88,30,87,86,87,86,87,46,90,68,36,67,86,88,86,52,64,86,80,86,63,52,80,64,86,84,82,86,67,86,63,52,80,64,86,84,82,86,67,82,56
T. Alderweireld,28,86,87,62,81,60,50,70,81,64,63,62,45,69,16,6,14,16,14,82,84,81,81,66,89,60,56,86,77,86,85,69,76,90,82,67,38,67,84,81,67,74,67,79,84,74,81,67,67,67,65,77,67,79,84,74,81,67,67,67,65,77,67,57
David Luiz,30,86,86,68,86,72,56,79,78,68,70,66,55,76,11,12,10,7,14,83,87,80,78,71,80,75,54,79,79,77,84,71,76,85,81,69,64,71,83,81,69,75,71,79,83,75,81,69,70,69,69,78,71,79,83,75,81,69,70,69,69,78,69,58
Diego Costa,28,86,86,74,93,58,52,83,84,65,62,77,88,59,11,13,12,8,11,83,40,64,52,73,28,76,88,86,67,84,34,75,83,39,91,74,81,76,57,60,80,71,76,58,57,71,60,80,76,83,77,60,76,58,57,71,60,80,76,83,77,60,83,59
R. Nainggolan,29,86,86,80,88,81,84,85,85,73,73,80,76,68,11,11,14,8,11,59,86,76,81,86,78,63,88,87,84,84,88,76,94,86,76,76,75,82,81,84,82,84,82,83,81,84,84,82,82,80,81,84,82,83,81,84,84,82,82,80,81,84,80,60
Javi Martínez,28,86,86,49,91,54,58,71,83,60,54,62,53,45,5,12,9,11,8,90,86,83,74,63,84,52,57,84,75,76,87,50,64,87,84,74,61,67,84,80,66,72,67,76,84,72,80,66,65,67,63,74,67,76,84,72,80,66,65,67,63,74,67,61
D. Mertens,30,86,86,93,59,94,92,88,81,77,81,89,85,77,7,10,8,10,4,35,36,60,74,81,30,78,85,85,81,80,40,87,75,40,42,82,70,85,47,60,85,78,85,60,47,78,60,85,84,78,86,65,85,60,47,78,60,85,84,78,86,65,78,62
Sokratis,29,86,86,71,91,62,68,58,82,47,36,58,44,35,6,8,5,12,5,87,80,87,64,48,88,33,50,81,64,79,86,84,74,90,86,52,46,59,84,76,61,63,59,77,84,63,76,61,61,64,59,73,59,77,84,63,76,61,61,64,59,73,64,63
Miranda,32,86,86,67,83,61,57,72,84,48,32,65,43,39,12,6,10,13,12,83,88,82,69,41,89,49,43,82,70,70,86,74,65,90,80,58,51,63,84,79,62,67,63,77,84,67,79,62,63,63,61,75,63,77,84,67,79,62,63,63,61,75,63,64
K. Benzema,29,86,86,77,65,77,60,86,82,75,79,82,87,73,13,11,5,5,7,78,22,70,47,77,13,82,87,83,86,83,12,78,73,15,78,85,79,82,44,52,84,72,82,51,44,72,52,84,80,83,83,56,82,51,44,72,52,84,80,83,83,56,83,65
Cesc Fàbregas,30,86,86,65,45,65,77,86,92,85,77,80,76,81,6,10,8,15,15,74,50,68,90,75,60,80,78,81,91,77,62,62,80,63,64,91,81,82,64,72,80,83,82,70,64,83,72,80,81,77,80,72,82,70,64,83,72,80,81,77,80,72,77,66
F. Ribéry,34,86,86,85,52,88,91,90,86,81,83,90,76,81,15,6,9,7,10,41,36,34,75,75,13,78,81,86,86,76,26,79,64,25,60,86,80,85,42,57,83,78,85,55,42,78,57,83,83,77,84,61,85,55,42,78,57,83,83,77,84,61,77,67
Pepe,34,86,86,65,94,63,49,62,77,46,44,58,46,47,8,15,5,9,10,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23,59,83,76,59,63,59,75,83,63,76,59,59,61,58,72,59,75,83,63,76,59,59,61,58,72,61,68
P. Čech,35,86,86,40,17,49,34,22,70,19,13,12,12,19,82,87,76,83,81,19,23,51,33,11,11,23,13,84,35,21,12,44,32,13,65,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Y. Carrasco,23,85,90,87,61,91,71,86,75,80,81,91,79,78,9,11,9,10,10,53,18,68,74,75,19,74,82,83,79,84,26,89,73,39,59,74,68,82,45,56,83,74,82,56,45,74,56,83,83,79,84,60,82,56,45,74,56,83,83,79,84,60,79,70
R. Varane,24,85,92,77,77,58,47,77,82,36,46,57,40,54,11,11,9,5,14,83,82,80,76,53,84,43,44,81,75,52,85,81,68,86,85,56,42,64,83,79,62,69,64,77,83,69,79,62,63,62,61,73,64,77,83,69,79,62,63,62,61,73,62,71
Casemiro,25,85,89,63,87,66,57,78,86,52,59,69,59,74,13,14,16,12,12,74,86,87,84,77,83,66,66,83,82,86,86,61,85,87,85,76,53,74,83,84,72,79,74,78,83,79,84,72,71,72,69,77,74,78,83,79,84,72,71,72,69,77,72,72
L. Insigne,26,85,86,94,34,96,93,90,78,83,83,88,73,77,8,4,14,9,10,56,26,53,73,80,16,61,83,80,83,70,22,86,75,24,44,87,74,85,39,54,83,77,85,55,39,77,54,83,84,76,85,60,85,55,39,77,54,83,84,76,85,60,76,73
A. Lacazette,26,85,88,84,70,87,84,84,86,64,74,85,87,71,11,6,9,5,6,72,40,76,59,76,23,84,87,85,79,81,30,87,80,42,79,74,82,81,54,60,83,74,81,59,54,74,60,83,80,83,82,62,81,59,54,74,60,83,80,83,82,62,83,74
K. Navas,30,85,85,54,32,60,61,19,49,11,11,16,15,15,87,82,72,80,85,11,20,74,37,13,12,25,16,82,30,21,14,53,39,14,75,54,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
H. Mkhitaryan,28,85,85,88,69,89,85,87,79,79,83,87,77,64,5,11,14,5,7,53,64,71,72,75,49,72,82,82,84,87,55,84,86,53,63,85,81,84,62,70,83,80,84,70,62,80,70,83,83,79,84,73,84,70,62,80,70,83,83,79,84,73,79,76
D. Subašić,32,85,85,51,31,42,37,19,65,11,24,11,10,66,84,79,79,85,87,13,20,75,26,14,15,23,15,82,24,24,13,54,32,14,80,52,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
B. Leno,25,85,88,46,28,52,44,22,62,9,9,16,9,8,85,84,74,85,83,13,22,73,33,14,8,23,7,81,37,23,18,52,43,15,68,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
M. ter Stegen,25,85,89,38,43,37,43,18,62,15,18,17,14,12,84,83,87,81,86,11,22,79,38,10,10,25,11,82,30,22,10,50,35,13,79,57,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
K. Glik,29,85,85,53,86,34,55,59,79,29,35,51,27,26,10,14,5,8,10,85,87,82,59,20,85,39,24,79,63,57,83,58,72,87,90,23,17,47,83,74,48,55,47,72,83,55,74,48,50,52,45,68,47,72,83,55,74,48,50,52,45,68,52,80
Jordi Alba,28,85,85,93,75,90,86,83,75,82,77,80,73,64,13,15,13,6,13,63,83,81,70,66,81,59,77,82,79,64,83,93,90,84,60,68,60,78,78,80,78,78,78,83,78,78,80,78,81,75,80,84,78,83,78,78,80,78,81,75,80,84,75,81
I. Gündoğan,26,85,87,73,68,83,81,88,86,74,81,87,72,74,11,14,5,5,13,49,79,62,83,74,57,76,79,87,88,77,64,70,71,67,74,87,75,84,69,77,81,83,84,73,69,83,77,81,81,76,81,75,84,73,69,83,77,81,81,76,81,75,76,82
Azpilicueta,27,85,87,78,80,75,73,79,78,78,66,69,46,58,13,9,10,6,5,76,85,76,74,60,87,66,62,86,80,68,87,79,88,88,73,68,51,72,83,82,70,76,72,84,83,76,82,70,74,68,71,83,72,84,83,76,82,70,74,68,71,83,68,83
A. Di María,29,85,85,86,73,92,79,85,82,85,78,86,74,72,10,7,11,12,11,53,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,81,77,83,58,66,82,78,83,66,58,78,66,82,83,77,83,70,83,66,58,78,66,82,83,77,83,70,77,84
M. Pjanić,27,85,86,74,68,79,79,89,84,80,86,86,61,91,7,7,13,7,8,60,74,61,85,82,62,79,70,84,89,78,66,74,78,70,65,88,72,83,70,78,80,83,83,75,70,83,78,80,81,74,80,77,83,75,70,83,78,80,81,74,80,77,74,85
C. Marchisio,31,85,85,78,78,81,79,85,84,76,78,84,61,78,4,3,4,2,4,68,80,68,85,82,72,78,80,86,87,82,80,78,81,78,70,84,76,82,77,81,80,83,82,79,77,83,81,80,81,76,80,80,82,79,77,83,81,80,81,76,80,80,76,86
J. Vertonghen,30,85,85,68,83,62,55,74,81,68,58,69,56,73,6,10,9,12,7,81,86,83,74,68,84,68,60,82,79,86,86,66,79,86,81,68,52,70,83,81,70,74,70,80,83,74,81,70,70,70,69,78,70,80,83,74,81,70,70,70,69,78,70,87
B. Matuidi,30,85,85,79,85,76,79,77,82,75,65,73,65,52,8,11,5,10,14,73,85,84,79,66,83,56,68,84,84,74,81,78,94,84,78,75,72,76,82,83,75,79,76,82,82,79,83,75,77,73,75,82,76,82,82,79,83,75,77,73,75,82,73,88
S. Ruffier,30,85,85,45,31,51,55,15,57,11,17,12,11,12,82,84,77,85,87,12,25,72,34,11,11,25,12,78,33,21,11,50,37,12,76,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Filipe Luís,31,85,85,75,81,74,60,81,88,84,74,77,59,75,11,15,9,9,5,68,82,63,77,60,85,65,71,83,78,71,86,82,91,83,74,70,56,75,80,81,74,77,75,83,80,77,81,74,78,72,75,83,75,83,80,77,81,74,78,72,75,83,72,90
V. Kompany,31,85,85,61,87,60,42,68,81,61,61,63,45,52,10,9,5,8,6,84,80,71,66,55,84,63,41,84,72,75,84,64,74,85,88,59,46,62,82,77,62,67,62,76,82,67,77,62,63,63,61,74,62,76,82,67,77,62,63,63,61,74,63,91
A. Barzagli,36,85,85,64,70,51,64,65,82,40,50,64,21,31,4,2,4,2,4,72,92,85,65,39,90,60,28,80,65,54,88,76,46,90,87,62,35,58,83,76,55,63,58,75,83,63,76,55,57,53,55,71,58,75,83,63,76,55,57,53,55,71,53,92
E. Bailly,23,84,89,75,87,63,63,68,74,51,46,63,33,43,14,14,10,9,8,81,85,84,56,48,82,46,47,78,72,55,85,80,78,85,85,54,42,61,83,76,61,65,61,77,83,65,76,61,63,60,61,75,61,77,83,65,76,61,63,60,61,75,60,93
Marco Asensio,21,84,92,79,45,78,76,86,82,79,83,83,82,76,13,9,6,12,10,50,45,57,81,87,29,62,72,78,86,84,39,77,73,42,61,83,75,82,50,62,81,78,82,60,50,78,62,81,81,77,81,65,82,60,50,78,62,81,81,77,81,65,77,94
Bernardo Silva,22,84,91,85,58,88,86,89,84,79,79,91,76,63,9,10,14,12,9,51,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66,83,53,66,82,79,83,63,53,79,66,82,83,75,83,68,83,63,53,79,66,82,83,75,83,68,75,95
A. Laporte,23,84,89,68,72,49,55,71,74,58,62,55,45,77,10,11,5,14,5,85,85,77,78,47,86,35,54,82,73,70,85,70,71,88,84,52,40,62,83,79,62,69,62,78,83,69,79,62,64,64,61,75,62,78,83,69,79,62,64,64,61,75,64,96
D. Alli,21,84,90,77,84,74,62,85,86,68,71,83,84,53,7,6,9,11,8,75,67,69,76,79,60,68,86,85,83,77,57,76,89,63,71,83,76,83,69,75,83,81,83,72,69,81,75,83,81,81,81,73,83,72,69,81,75,83,81,81,81,73,81,97
S. Mané,25,84,87,94,73,89,85,84,78,72,74,86,83,64,10,10,15,7,14,53,31,75,71,69,33,71,84,80,77,77,38,92,82,35,72,78,68,81,51,60,82,74,81,60,51,74,60,82,82,79,83,63,81,60,51,74,60,82,82,79,83,63,79,98
Carvajal,25,84,87,76,81,82,79,83,74,83,72,76,41,47,13,13,15,9,15,65,82,76,71,36,85,45,61,81,81,64,86,86,84,85,75,57,34,70,81,80,69,73,70,83,81,73,80,69,75,65,72,83,70,83,81,73,80,69,75,65,72,83,65,99
