COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS,MEDIA_GMEAN,MEDIA_MEDIA,MODA_MEDIA,HMEAN_GMEAN,MODA_MIN,MAX_MIN,MEDIA_MIN,MODA_PESO_GMEAN,MIN_MAX,MODA_VARIATION,MEDIANA_MIN,MIN_KURTOSIS,HMEAN_MIN,GMEAN_MIN
31859,2,2,107,8,0,0,4,0,2,2.8089927486799997,2.81360974103,3.0,2.53292093447,3,3,2.43971631206,1.7808673740599998,3,0.0,3.0,1.5,2.08118081181,2.27970082222
8773,1,1,34,4,0,1,6,0,0,2.6265277615900002,2.65387915716,2.9333333333300002,2.26474054525,1,2,1.5,1.34927053832,1,0.231773614254,1.5,-3.0,1.33333333333,1.4142135623700003
6307,1,1,37,2,0,0,7,0,3,3.34314269607,3.37673402694,3.66666666667,3.08433359057,3,4,2.7278911564599997,2.26853562461,2,0.128564869307,3.0,-1.5,2.34713187463,2.5551509151
6018,3,1,6,6,0,0,6,0,2,2.8550913838099996,2.8550913838099996,3.0,2.64213854556,3,4,2.8550913838099996,1.86422976501,1,0.0,3.0,-3.0,2.64213854556,2.76126466936
20809,3,1,3,1,0,0,4,0,2,2.83449077102,2.8363069429100003,3.0,2.52663604646,3,4,2.67391304348,1.7461278301499998,1,0.0,3.0,-3.0,2.25,2.51797767086
32775,4,2,106,2,0,0,5,0,2,2.89486875151,2.8980733378400005,3.25,2.5286351663900004,3,4,2.76953125,1.62796252355,1,0.13323467750499998,3.0,-3.0,2.37489943685,2.59727254058
2850,2,1,14,1,0,0,4,0,2,2.63587757767,2.63955761497,3.0,2.31677004933,3,4,2.468216598,1.6082206401399999,1,0.0,3.0,-3.0,2.11933471933,2.30930275815
32077,1,2,109,3,0,0,4,0,3,2.5653545965299998,2.56885573949,3.0,2.20239905827,3,4,2.4347826087,1.42599887915,1,0.0,3.0,-3.0,2.07518796992,2.27172089947
5934,1,1,31,2,0,0,5,0,3,3.06060606061,3.06060606061,4.0,2.60526315789,4,4,3.06060606061,1.6161616161599999,1,0.0,3.0,-3.0,2.60526315789,2.86437389386
29421,3,2,104,1,0,0,4,0,2,2.7004931914099997,2.70055821372,3.0,2.39109289405,3,4,2.68181818182,1.8705089755900002,1,0.0,3.0,-3.0,2.3571428571400004,2.54146376122
10098,3,1,6,2,0,1,5,0,3,3.2854325718799995,3.2997787610600002,4.0,2.95132096286,4,4,2.9924146649799996,2.00311942287,1,0.0,3.0,-3.0,2.5516129032299997,2.7993183265
26115,3,2,107,4,0,0,4,0,2,3.5956070437,3.59656161438,4.0,3.32369772705,4,4,3.5137037037,2.82554646476,1,0.0,4.0,-3.0,3.24389267121,3.40525877168
20197,3,1,31,1,0,0,4,0,0,2.6462585034,2.6462585034,3.0,2.24713375796,3,4,2.6462585034,1.08163265306,1,0.0,3.0,-3.0,2.24713375796,2.46116302107
12845,1,1,26,1,0,0,3,0,3,3.02388850785,3.0518006209099995,3.26666666667,2.65985955777,2,4,2.1612903225799998,1.55395989275,1,0.20812324545299998,2.0,-3.0,1.77142857143,1.96738517411
25570,4,2,101,3,0,0,4,0,2,2.57682052146,2.58596607176,2.82608695652,2.23645470773,2,3,2.19093078759,1.4305252278,1,0.134119967494,2.0,-3.0,1.8099352051800002,2.00402413152
15391,3,1,34,4,0,1,7,0,1,2.38499692095,2.43781481023,2.8,2.05880462612,1,3,1.6,1.2308196525700001,1,0.34992710611199995,1.5,-3.0,1.36363636364,1.47273335753
12059,3,1,15,1,0,0,7,0,2,2.8129558622900004,2.8344904944400002,3.14285714286,2.46460650403,3,4,2.1636363636400002,1.5365899481299998,1,0.111340442854,2.0,-3.0,1.78861788618,1.98203945585
27967,3,2,110,8,0,0,5,0,2,2.7913780981200005,2.80007115259,3.05,2.4688319763999997,2,3,2.33333333333,1.57254013799,2,0.125920422096,2.0,15.052631578900002,2.03592814371,2.23519553192
1949,4,1,31,4,0,1,5,0,2,2.87454025431,2.87763273763,3.0,2.63279533052,3,4,2.6919191919200003,1.83556072224,1,0.0,3.0,-3.0,2.3501483679499997,2.5389363765
11260,3,1,5,2,0,0,4,0,0,2.61588673372,2.65119307881,3.0,2.27581192281,2,3,2.24615384615,1.3186904491299998,1,0.235702260396,2.0,-3.0,1.82669789227,2.04026498553
6959,4,1,3,2,0,0,4,0,1,2.56422734509,2.58222369865,3.2,2.18128588777,3,4,2.21052631579,1.57856849829,1,0.125,3.0,-3.0,1.72727272727,1.9708826610699999
9920,1,1,37,2,0,0,7,0,2,2.5216679648199998,2.54483394346,2.75,2.1644791761200004,2,4,1.9883268482499998,1.32596698246,1,0.157459164324,2.0,-3.0,1.63955342903,1.81182208445
21337,3,1,7,3,0,0,5,0,2,2.7022368045999996,2.70667335446,3.0,2.45369150218,3,3,2.468216598,1.7873363831,3,0.0,3.0,0.6115702479339999,2.11933471933,2.30930275815
240,4,1,31,4,0,0,4,0,2,2.9431058274199997,2.9456294569700003,3.0,2.67167439345,3,4,2.8550913838099996,1.65098936067,1,0.0,3.0,-3.0,2.61538461538,2.75827355088
25891,2,2,101,2,0,0,5,0,2,2.76917878023,2.7729295420200004,3.0,2.43619701898,3,4,2.56281407035,1.54384422507,1,0.0,3.0,-3.0,2.3072463768099998,2.44925240631
9894,3,1,39,1,0,0,7,0,0,2.80638324196,2.83194245748,3.25,2.4316684485,3,3,2.468216598,1.93871864007,1,0.13323467750499998,3.0,-3.0,2.06896551724,2.30930275815
20663,1,1,9,1,0,0,5,0,3,3.8053097345099998,3.8053097345099998,4.0,3.616,4,4,3.8053097345099998,3.43362831858,1,0.0,4.0,-3.0,3.616,3.7394546207599997
24770,3,1,28,2,0,1,4,0,3,3.66986536398,3.6698777683800006,4.0,3.3935314129500003,4,4,3.66033601169,3.1067410052900004,1,0.0,4.0,-3.0,3.3816385343799995,3.55514188915
22746,3,1,25,2,0,0,4,0,3,2.8375,2.8375,3.0,2.5296442687700003,3,4,2.8375,1.51875,1,0.0,3.0,-3.0,2.5296442687700003,2.70126890889
27510,3,2,101,8,1,0,4,0,3,3.22047249214,3.24945059451,3.5,2.92754054668,3,4,2.7219917012400003,2.0869870869400002,3,0.14285714285700002,3.0,1.2,2.3350827614,2.5494383209400002
28491,3,2,101,2,0,0,4,0,1,2.61198196002,2.62097923857,2.75,2.24329080991,2,4,2.34900990099,1.18962197029,1,0.157459164324,2.0,-3.0,1.9909650924000002,2.18172183434
14632,3,1,30,1,0,1,3,0,1,2.73348385622,2.75782250426,2.83333333333,2.40296002863,2,4,2.33333333333,1.42673352366,1,0.242535625036,2.0,-3.0,2.0224719101099997,2.18604156676
18969,3,1,11,5,0,0,6,0,2,3.02668812185,3.0512089382,3.5714285714300003,2.62196169214,3,4,2.468216598,1.64127389861,1,0.138564064606,3.0,-3.0,2.11933471933,2.30930275815
30137,3,2,107,9,0,0,4,0,1,2.66514077967,2.6658625111400003,3.0,2.31007731822,3,4,2.6038338658099995,1.35870537099,1,0.0,3.0,-3.0,2.27360774818,2.4555865826099996
29495,4,2,107,4,0,0,4,0,0,2.71879956119,2.76121794506,3.08510638298,2.3541855345400005,1,1,1.0,1.5174445213699999,1,0.22004215356600001,1.0,-3.0,1.0,1.0
23330,3,1,5,3,0,0,6,0,2,2.6643398482,2.68284485743,2.7142857142900003,2.30983351536,1,3,2.0,1.42919736194,1,0.25784102555599997,2.0,-3.0,1.5,1.73205080757
29837,1,2,101,7,0,0,4,0,3,3.18461351027,3.1852862424699997,4.0,2.7833126044800003,4,4,3.1135371179000004,1.8373551593900002,1,0.0,3.0,-3.0,2.6862170088,2.9296545672900005
16493,3,1,28,1,0,1,5,0,3,3.2309319881299996,3.2418482653500003,3.4,2.95497617475,3,4,2.8767123287700005,1.9472413267099997,1,0.144087631928,3.0,-3.0,2.5100286533,2.7203929703099994
21122,1,1,36,8,0,0,6,0,2,2.6531831198,2.68022923356,3.5,2.24446842107,3,4,2.30042918455,1.38954680905,1,0.14285714285700002,2.0,-3.0,1.9176954732499998,2.11883066621
10877,3,1,17,4,0,0,4,0,3,2.91185647426,2.91185647426,3.0,2.47769367048,3,4,2.91185647426,1.21918876755,1,0.0,3.0,-3.0,2.47769367048,2.7215618791000002
223,1,1,37,8,1,0,8,0,2,2.79706443278,2.83220509064,3.2,2.46910678316,3,4,2.46666666667,1.70435481369,2,0.125,3.0,0.25,2.11933471933,2.30930275815
22079,3,1,6,1,0,0,4,0,2,2.7284711370499997,2.7315816388700003,3.0,2.4145370357599996,3,4,2.468216598,1.6519112613100002,1,0.0,3.0,-3.0,2.11933471933,2.30930275815
31644,2,2,101,1,0,0,4,0,3,2.8269230769200004,2.8269230769200004,3.0,2.49101796407,3,4,2.8269230769200004,1.47115384615,1,0.0,3.0,-3.0,2.49101796407,2.67858670343
22569,4,1,9,4,0,1,7,0,3,2.66912830367,2.67136502495,3.0,2.3064962543900003,3,4,2.5,1.48700269743,1,0.0,3.0,-3.0,2.0970873786400004,2.31368456347
9414,3,1,32,2,0,0,5,0,3,3.6055045871599996,3.6055045871599996,4.0,3.31699070161,4,4,3.6055045871599996,2.874617737,1,0.0,4.0,-3.0,3.31699070161,3.4957925455
25518,3,2,109,3,0,0,4,0,3,3.09863907804,3.1267223918299996,3.5,2.74853659541,3,4,2.70303030303,2.05781580141,1,0.14285714285700002,3.0,-3.0,2.3515439429900002,2.54700063368
24604,3,1,25,1,0,0,6,0,3,3.52281741334,3.5254006959699993,4.0,3.1789501255199997,4,4,3.3904653802499998,2.72312233855,1,0.0,4.0,-3.0,2.98841044003,3.22892131478
25667,2,2,107,1,0,0,4,0,3,3.0599497656400003,3.07920577065,3.4705882352900006,2.70380365258,3,4,2.36842105263,1.7772824717700002,3,0.143818328377,2.0,6.8088642659300005,1.9106145251400002,2.1479612737
27489,3,2,101,5,0,0,4,0,2,2.84592727074,2.85187126512,3.0,2.4863787742200003,3,4,2.6,1.63325653056,1,0.0,3.0,-3.0,2.15568862275,2.4029590845400004
16836,2,1,25,2,0,0,5,0,2,2.8445391561699997,2.8493373893799996,3.0,2.54683566233,3,4,2.6660079051400003,1.7186623045599998,1,0.0,3.0,-3.0,2.3444015444,2.52456843162
20562,4,1,2,1,0,0,5,0,1,2.78293355125,2.7860260362700004,3.0,2.42909110448,3,4,2.63461538462,1.56084063657,1,0.0,3.0,-3.0,2.24460431655,2.46619113475
17954,2,1,9,1,0,0,6,0,1,2.61670890827,2.62220550301,3.0,2.25303797181,3,3,2.36273291925,1.44077570502,1,0.0,3.0,-3.0,2.0104058272599996,2.20112819036
7462,3,1,5,5,0,0,5,0,1,2.8439244264999997,2.85678525081,3.13333333333,2.52177050247,2,3,2.33333333333,1.70323137528,2,0.159219463267,2.0,5.11111111111,2.1338028169,2.2894284851099997
20407,3,1,5,1,0,1,4,0,2,2.57662690979,2.58563431867,3.0,2.22443042123,3,4,2.3297872340400003,1.44411108254,1,0.0,2.0,-3.0,1.96515679443,2.15833446884
26987,3,2,106,5,0,0,4,0,3,3.6794195250699997,3.6794195250699997,4.0,3.4054661175599996,4,4,3.6794195250699997,3.1222515391400005,1,0.0,4.0,-3.0,3.4054661175599996,3.57805227927
27382,3,2,107,4,0,0,2,0,1,2.77358158815,2.79179411908,3.14285714286,2.40094829322,2,4,2.38461538462,1.4580240690900002,1,0.203278907045,2.0,-3.0,2.02597402597,2.21616070192
25308,3,2,110,2,0,0,5,0,3,3.66701680672,3.66701680672,4.0,3.43166115951,4,4,3.66701680672,3.0714285714300003,1,0.0,4.0,-3.0,3.43166115951,3.5754497746199996
29372,4,2,108,4,0,0,5,0,3,3.40992153482,3.4219798604400005,3.875,3.0796055759400005,3,4,2.8517699115,2.31963427069,1,0.08534681648600001,3.0,-3.0,2.4128113878999997,2.65441474521
20716,3,1,14,1,0,0,5,0,2,3.54189727201,3.54329567185,4.0,3.26524323058,4,4,3.3904653802499998,2.6580203279,1,0.0,4.0,-3.0,2.98841044003,3.22892131478
26902,4,2,101,7,0,0,3,0,3,3.51095155802,3.5271270026199995,3.88888888889,3.2533563200200004,3,4,2.8533094812199997,2.63116952103,4,0.0808122035642,3.0,2.72717311907,2.5151856018000003,2.7056639614099995
11834,1,1,5,1,0,0,5,0,3,3.22920759027,3.24757351995,3.5714285714300003,2.94590947944,3,4,2.80963572268,2.16612124395,2,0.138564064606,3.0,2.16666666667,2.40395480226,2.63095709333
14774,1,1,16,6,0,1,4,0,1,2.72782250023,2.7340641632,3.0,2.43100165738,3,4,2.48,1.72914275493,1,0.0,3.0,-3.0,2.15827338129,2.33622706408
18704,1,1,7,1,0,0,3,0,3,3.4951264383800007,3.50332276757,4.0,3.16496177035,4,4,3.1702127659599997,2.59271475685,1,0.0,3.0,-3.0,2.7529711375200003,2.99404687551
869,3,1,27,1,0,1,5,0,3,3.02091404452,3.04545983157,3.4090909090900006,2.65733209472,3,4,2.468216598,1.76015150007,1,0.144222051019,3.0,-3.0,2.11933471933,2.30930275815
15480,1,1,37,3,0,1,6,0,1,2.61919614692,2.6336091626099996,3.0,2.28986661447,2,4,1.9883268482499998,1.6064112821599998,1,0.1490711985,2.0,-3.0,1.63955342903,1.81182208445
14955,1,1,37,5,0,1,7,0,0,2.30300959041,2.4009197752,2.66666666667,2.0030128288299998,1,1,1.0,1.3650349803400001,1,0.25,1.0,-3.0,1.0,1.0
24525,3,1,32,2,0,0,5,0,3,3.4211349684900005,3.43255522925,4.0,3.05165991651,4,4,3.0,2.43715538582,1,0.0,3.0,-3.0,2.52,2.7908445836699998
30788,4,2,104,7,0,0,4,0,2,2.78787540121,2.80683603847,3.375,2.41036229432,3,3,2.43971631206,1.76887202789,2,0.143443827637,3.0,3.14285714286,2.08118081181,2.27970082222
9291,1,1,17,5,0,0,6,0,3,3.02973977695,3.02973977695,3.0,2.7566182749799997,3,4,3.02973977695,1.51672862454,1,0.0,3.0,-3.0,2.7566182749799997,2.9101555793799996
13733,3,1,21,1,0,0,4,0,3,3.10455103788,3.1272474358099998,3.4,2.73380617616,3,4,2.73873873874,1.8325606442,1,0.144087631928,3.0,-3.0,2.20165289256,2.49212174716
5573,3,1,25,1,0,1,5,0,3,3.4076800181999998,3.41326611574,4.0,3.01726778953,4,4,3.20967741935,2.42503623423,1,0.0,4.0,-3.0,2.70217917676,2.9984367724900003
23451,1,1,5,7,0,0,6,0,2,2.8083031120200004,2.82200306863,3.1904761904799996,2.45671444909,2,3,2.45714285714,1.5934299723899998,2,0.14080568853800002,2.5,16.05,2.0487804878,2.26843472021
13695,1,1,25,3,0,0,5,0,2,2.61822209332,2.61998018722,3.0,2.2933544104,3,4,2.53642384106,1.6805829649200001,1,0.0,3.0,-3.0,2.16487455197,2.3717293801
30115,2,2,106,6,0,0,4,0,2,2.6289308176099997,2.6289308176099997,3.0,2.31553398058,3,4,2.6289308176099997,1.7924528301900002,1,0.0,3.0,-3.0,2.31553398058,2.49330496671
14054,3,1,25,1,0,0,4,0,3,3.12773665801,3.1414656900700004,3.7142857142900003,2.72127686978,3,4,2.7278911564599997,1.80012585985,1,0.121626063853,3.0,-3.0,2.2429906542099998,2.52098057238
16768,2,1,5,2,0,1,5,0,2,2.90495671992,2.90544503168,3.0,2.67009370759,3,4,2.8505434782599997,1.7155791095100001,2,0.0,3.0,0.25,2.61303744799,2.75827355088
4283,4,1,14,6,0,1,6,0,1,2.75381145275,2.76964767098,3.1875,2.41746078679,3,4,2.29702970297,1.6370944423500002,1,0.12245094114499999,2.0,-3.0,1.9314741035900003,2.12636144415
12586,3,1,31,2,0,0,6,0,2,2.9083084961699996,2.9231732714599996,3.1818181818199998,2.61645707586,3,3,2.52941176471,1.9174601839200003,2,0.121218305346,3.0,6.1,2.21739130435,2.3963823099400003
5265,1,1,36,7,0,1,7,0,3,3.23378464898,3.26871121357,3.66666666667,2.9353232360900003,3,4,2.59574468085,2.31086466087,1,0.128564869307,3.0,-3.0,2.23366336634,2.43691924661
26799,2,2,106,1,0,0,4,0,3,3.39190954157,3.3956930904799996,3.83333333333,3.0282069389200004,3,4,3.1196646341500003,2.23095844719,1,0.0972203468478,3.0,-3.0,2.7596844872900004,2.9662095516000004
3236,2,1,15,1,0,1,5,0,1,2.63332836156,2.7041983299,3.33333333333,2.2472183699,2,3,1.88235294118,1.33847553662,1,0.282842712475,2.0,-3.0,1.5692307692299998,1.72273053782
11264,3,1,25,1,0,0,5,0,2,2.6711528170500003,2.6862344028500003,2.9411764705900003,2.34949053141,2,3,1.8333333333300001,1.4855178380899998,1,0.141421356237,2.0,-3.0,1.5652173913,1.69838132956
1752,3,1,29,1,0,0,4,0,3,3.0351441520200004,3.04880170317,3.33333333333,2.65418932165,3,4,2.7619783616699998,1.65436504727,1,0.141421356237,3.0,-3.0,2.39186691312,2.59676210693
3018,1,1,14,1,0,0,4,0,2,2.86440136936,2.89410589411,3.5,2.5210227201599995,3,4,2.4805194805200004,1.74326160944,1,0.14285714285700002,3.0,-3.0,2.1388888888900004,2.32681680713
14395,4,1,3,1,0,0,5,0,2,3.35485938774,3.3691740482499997,3.5,3.015904602,3,4,3.05892857143,1.9356399063299998,1,0.14285714285700002,3.0,-3.0,2.67090620032,2.89226408304
8745,3,1,25,5,0,0,4,0,1,2.76378797884,2.78228154604,3.25,2.4116959620299996,3,4,2.3835616438400002,1.60167580682,1,0.13323467750499998,2.0,-3.0,2.08571428571,2.24784832505
5604,3,1,30,1,0,0,5,0,3,3.5137037037,3.5137037037,4.0,3.24389267121,4,4,3.5137037037,2.55703703704,1,0.0,4.0,-3.0,3.24389267121,3.40525877168
20680,2,1,31,4,1,1,5,0,2,3.0361978166400005,3.07601897893,3.45454545455,2.7110704425200005,2,4,2.1612903225799998,1.9260247234099999,2,0.18976585660300002,2.0,6.1,1.77142857143,1.96738517411
12838,3,1,25,2,0,0,6,0,2,2.9307823975800003,2.95369068463,3.27272727273,2.55139297404,2,4,2.468216598,1.63593023993,1,0.18839805508699997,2.0,-3.0,2.1025641025599997,2.30930275815
8184,3,1,7,1,0,0,1,0,2,2.7297833991400005,2.73032253485,3.0,2.4353863918700003,3,3,2.65517241379,1.8092932713,1,0.0,3.0,-3.0,2.37788018433,2.55731170429
18210,1,1,7,1,0,0,4,0,3,2.76731365422,2.7754418145899997,2.9230769230799996,2.39855080954,2,4,2.468216598,1.24572699007,3,0.162221421131,3.0,2.00156087409,2.1182563659900002,2.30930275815
30252,3,2,104,3,0,0,4,0,1,2.80387637695,2.80778777073,3.0,2.46142172137,3,4,2.56281407035,1.54259410032,1,0.0,3.0,-3.0,2.14925373134,2.44925240631
6087,1,1,35,1,0,0,5,0,2,2.6677491560799997,2.67610098383,3.125,2.3387098154599997,3,3,2.34900990099,1.7045932531,1,0.105830052443,2.0,-3.0,1.9909650924000002,2.18172183434
23780,2,1,29,1,0,0,4,0,3,3.5207916115599995,3.5218391299,4.0,3.11747166958,4,4,3.3904653802499998,2.72882927136,1,0.0,4.0,-3.0,2.9090909090900006,3.22892131478
31554,2,2,100,9,0,0,2,0,3,3.53929608227,3.54628769612,4.0,3.23822647593,4,4,3.1702127659599997,2.7036360924699996,1,0.0,3.0,-3.0,2.7529711375200003,2.99404687551
22699,3,1,34,4,0,0,5,0,3,3.22255001403,3.2229263580699996,3.66666666667,2.8419984545999997,3,4,3.1702127659599997,1.7815069207299998,1,0.128564869307,3.0,-3.0,2.70217917676,2.99404687551
19871,2,1,13,1,0,0,7,0,3,2.83988733103,2.84077672198,3.0,2.4579802342500003,3,4,2.7696969697000005,1.35641685539,1,0.0,3.0,-3.0,2.43842364532,2.6230104603599997
29186,3,2,106,7,0,0,4,0,1,2.34554429592,2.3458073989,3.0,2.00062088928,3,4,2.29702970297,1.38787952213,1,0.0,2.0,-3.0,1.9314741035900003,2.12636144415
10237,1,1,38,7,0,0,7,0,3,3.45153455203,3.45208454198,4.0,3.1135321943000003,4,4,3.3904653802499998,2.47664954488,1,0.0,4.0,-3.0,2.98841044003,3.22892131478
28713,1,2,101,2,0,0,2,0,2,2.9618120976499998,2.97937877409,3.3,2.6707012314700003,3,3,2.468216598,1.9168697445900003,3,0.13886593015,3.0,-0.48520710059199995,2.11933471933,2.30930275815
24584,3,1,27,2,0,0,7,0,3,3.6794195250699997,3.6794195250699997,4.0,3.4054661175599996,4,4,3.6794195250699997,3.1222515391400005,1,0.0,4.0,-3.0,3.4054661175599996,3.57805227927
8785,4,1,31,3,0,0,4,0,3,3.19855858607,3.21356292172,3.66666666667,2.93239931856,3,4,2.8550913838099996,2.10460647342,2,0.128564869307,3.0,-1.5,2.64213854556,2.76126466936
29240,4,2,107,1,0,0,4,0,3,2.8987496316100003,2.90858712875,3.0,2.66519331425,2,4,2.6,1.6307761047999998,2,0.210818510678,2.5,0.25,2.44897959184,2.52098057238
2351,4,1,22,6,1,0,5,0,2,2.72799997395,2.73285917755,3.0,2.43099300096,3,3,2.468216598,1.61150764329,2,0.0,3.0,0.722222222222,2.11933471933,2.30930275815
5486,1,1,37,7,0,0,6,0,1,2.75431852449,2.78032584885,3.0,2.43559511466,2,2,2.0,1.47934196166,2,0.222222222222,2.0,-0.214285714286,1.9148936170200002,2.0
32230,1,2,107,1,0,0,3,0,3,3.03491369738,3.04605273648,3.33333333333,2.67966760502,3,4,2.81952662722,1.5604356989300001,1,0.141421356237,3.0,-3.0,2.41572364503,2.64012292565
32194,4,2,104,4,0,0,5,0,1,2.7667038429299997,2.78698824365,3.0,2.44274519162,2,3,2.2,1.4909922362799999,2,0.18490006540800002,2.0,8.083333333330001,1.92,2.0651414844400002
2414,1,1,3,1,0,0,4,0,3,4.0,4.0,4.0,4.0,4,4,4.0,4.0,4,0.0,4.0,-3.0,4.0,4.0
9094,3,1,7,2,0,0,5,0,3,3.5728093990400005,3.5731065367699997,4.0,3.3638451423,4,4,3.52702702703,2.7060005021799998,1,0.0,4.0,-3.0,3.26470588235,3.4172380305299996
4542,4,1,13,3,0,0,7,0,0,2.40837447964,2.41916481576,2.5,2.05586365058,2,4,2.19093078759,1.1754098956299999,1,0.2,2.0,-3.0,1.8099352051800002,2.00402413152
8795,3,1,3,7,1,0,6,0,2,2.77781008945,2.7963628721599996,3.0,2.4999932755,3,3,2.50225225225,1.717211619,3,0.0,3.0,1.2,2.18719211823,2.36373049764
14951,3,1,32,1,0,0,6,0,3,3.2207309500200005,3.23264545885,3.5,2.9130326269499998,3,4,2.95535714286,1.7830007765400002,1,0.14285714285700002,3.0,-3.0,2.5756995017200004,2.78996512329
18354,1,1,9,1,0,0,5,0,1,2.6171171171200003,2.6171171171200003,3.0,2.31853785901,3,4,2.6171171171200003,1.94594594595,1,0.0,3.0,-3.0,2.31853785901,2.49039066227
9125,1,1,33,1,0,0,4,0,3,3.06134393483,3.0909552551,3.25,2.7805072602200003,3,4,2.44444444444,1.66156548038,1,0.13323467750499998,3.0,-3.0,2.0970873786400004,2.2861165536000003
22772,1,1,9,2,0,0,6,0,2,2.7755991184099997,2.7785618524099998,3.0,2.47881918268,3,4,2.64739884393,1.7811053475299998,1,0.0,3.0,-3.0,2.3352080989900004,2.51211526071
24737,3,1,13,3,0,0,7,0,1,2.58029080031,2.59019364548,3.0,2.22337168052,3,4,2.29702970297,1.47125658629,1,0.0,2.0,-3.0,1.9314741035900003,2.12636144415
23900,3,1,12,10,0,0,1,0,2,2.8533094812199997,2.8533094812199997,3.0,2.5151856018000003,3,4,2.8533094812199997,1.52951699463,1,0.0,3.0,-3.0,2.5151856018000003,2.7056639614099995
