ID_CORRELATIVO,CODMES,ATTRITION,SEXO,ESTADO_CIVIL,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,RANG_SDO_PASIVO_MENOS0,FLG_NOMINA,RANG_NRO_PRODUCTOS_MENOS0,SDO_ACTIVO_MENOS0,FLG_SEGURO_MENOS0,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL3_MENOS0,NRO_ENTID_SSFF_MENOS0,FLG_SDO_OTSSFF_MENOS0
46856,201208,0,F,Soltero,0,,Provincia,47,0,Rango_SDO_03,0,Rango_02,0,0,0,0,0,0,0
87172,201208,1,M,Soltero,0,,,,0,Rango_SDO_01,0,Rango_03,0,1,1,0,20,0,0
94656,201208,0,F,Soltero,1,Rang_ingreso_03,Provincia,36,9,Rango_SDO_04,1,Rango_03,0,1,5,0,6,0,0
34791,201208,0,F,Soltero,1,Rang_ingreso_02,Provincia,31,1,Rango_SDO_01,1,Rango_03,0,1,0,0,28,2,1
75038,201208,0,F,Soltero,0,,,,0,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
38420,201208,0,F,Soltero,1,Rang_ingreso_01,Lima,24,2,Rango_SDO_03,1,Rango_02,0,0,5,5,16,1,1
28006,201208,0,F,Soltero,1,Rang_ingreso_03,Lima,29,9,Rango_SDO_01,1,Rango_04,5830,1,0,0,19,2,0
28549,201208,0,F,Soltero,1,Rang_ingreso_06,Lima,32,7,Rango_SDO_11,0,Rango_04,31030,1,11,0,24,6,1
46853,201208,0,F,Soltero,1,Rang_ingreso_05,Provincia,24,1,Rango_SDO_01,1,Rango_02,0,0,0,12,12,2,1
25925,201208,0,F,Soltero,0,Rang_ingreso_01,Provincia,50,0,Rango_SDO_03,1,Rango_02,0,0,0,0,0,0,0
51712,201208,0,F,Soltero,1,Rang_ingreso_04,Provincia,30,0,Rango_SDO_01,0,Rango_02,0,0,0,0,0,0,0
95506,201208,0,F,Soltero,1,Rang_ingreso_01,Lima,27,0,Rango_SDO_01,1,Rango_02,0,0,3,0,4,1,0
93127,201208,0,F,Soltero,1,Rang_ingreso_02,Lima,44,1,Rango_SDO_01,0,Rango_02,0,0,0,10,13,0,0
45679,201208,0,F,Soltero,1,Rang_ingreso_02,Lima,25,0,Rango_SDO_04,1,Rango_02,0,0,0,0,12,2,1
99370,201208,0,F,Soltero,1,Rang_ingreso_03,Provincia,46,0,Rango_SDO_03,0,Rango_04,2390,1,0,0,1,5,1
70763,201208,0,F,Soltero,1,Rang_ingreso_02,Lima,21,0,Cero,0,Rango_02,0,1,0,0,5,3,1
5450,201208,0,F,Soltero,1,Rang_ingreso_07,Provincia,30,7,Rango_SDO_10,1,Rango_03,0,1,6,0,17,1,0
56705,201208,0,M,Soltero,1,Rang_ingreso_02,Provincia,34,6,Rango_SDO_13,0,Rango_04,0,1,0,0,12,3,1
37134,201208,0,F,Soltero,0,,Lima,37,0,Rango_SDO_10,0,Rango_01,0,0,0,0,0,0,0
82302,201208,1,M,Soltero,1,Rang_ingreso_03,Provincia,29,0,Rango_SDO_01,0,Rango_02,0,0,0,0,11,1,0
46299,201208,0,F,Soltero,0,Rang_ingreso_01,Lima,31,9,Rango_SDO_01,1,Rango_02,0,0,0,0,5,0,0
25922,201208,0,F,Soltero,1,Rang_ingreso_04,Lima,30,4,Rango_SDO_05,0,Rango_03,13270,1,9,12,1,3,1
99869,201208,0,F,Soltero,0,Rang_ingreso_03,Provincia,31,0,Rango_SDO_01,1,Rango_03,0,1,0,0,2,0,0
55820,201208,0,F,Soltero,0,,Provincia,23,0,Rango_SDO_03,0,Rango_02,0,0,0,0,0,0,0
64281,201208,0,F,Soltero,1,,,,0,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
67127,201208,1,F,Soltero,1,Rang_ingreso_02,Provincia,55,5,Rango_SDO_01,1,Rango_03,0,1,0,0,4,2,1
4557,201208,1,F,Soltero,1,Rang_ingreso_04,Lima,26,,Cero,0,Rango_02,0,1,0,0,0,5,1
85780,201208,0,F,Soltero,0,Rang_ingreso_01,Lima,,0,Rango_SDO_01,1,Rango_02,0,0,0,0,24,0,0
28290,201208,0,F,Soltero,1,Rang_ingreso_06,Lima,33,7,Rango_SDO_06,1,Rango_05,49600,1,0,0,16,3,1
57485,201208,0,F,Soltero,1,Rang_ingreso_08,Lima,31,8,Rango_SDO_10,1,Rango_05,66680,1,1,4,15,4,1
29738,201208,0,F,Soltero,1,Rang_ingreso_06,Lima,28,4,Rango_SDO_09,1,Rango_03,0,1,9,0,21,1,0
85294,201208,0,F,Soltero,1,Rang_ingreso_02,Lima,65,10,Rango_SDO_01,0,Rango_03,0,1,0,0,0,5,1
28890,201208,0,F,Soltero,1,Rang_ingreso_02,Provincia,33,5,Rango_SDO_11,0,Rango_03,0,1,8,14,16,1,0
19516,201208,0,F,Soltero,1,Rang_ingreso_01,Lima,54,10,Rango_SDO_01,1,Rango_04,1240,1,0,0,18,2,1
27070,201208,0,F,Soltero,0,,,,0,Rango_SDO_01,0,Rango_02,0,0,5,0,14,0,0
68451,201208,0,F,Soltero,1,Rang_ingreso_03,Lima,31,0,Rango_SDO_01,1,Rango_02,0,0,0,0,9,1,1
82332,201208,0,F,Soltero,1,,Lima,25,0,Rango_SDO_01,0,Rango_02,0,0,5,0,7,0,0
573,201208,0,F,Soltero,1,Rang_ingreso_04,Provincia,44,1,Rango_SDO_01,0,Rango_04,12200,1,0,0,0,2,1
62833,201208,0,F,Soltero,1,Rang_ingreso_02,Provincia,40,0,Rango_SDO_01,1,Rango_02,0,0,0,0,4,4,1
14382,201208,0,F,Casado,1,Rang_ingreso_07,Lima,52,5,Rango_SDO_02,0,Rango_04,116330,1,0,0,2,3,1
94695,201208,0,F,Casado,1,Rang_ingreso_03,Lima,23,0,Cero,0,Rango_02,0,1,0,1,0,4,1
87469,201208,1,F,Soltero,1,Rang_ingreso_02,Lima,50,0,Rango_SDO_01,1,Rango_02,0,0,0,0,4,4,1
70802,201208,1,F,Soltero,1,Rang_ingreso_01,Provincia,37,0,Rango_SDO_01,0,Rango_02,0,0,0,0,0,0,0
81082,201208,0,F,Casado,1,Rang_ingreso_09,Provincia,30,4,Rango_SDO_01,0,Rango_03,671350,1,0,0,0,5,1
1364,201208,0,F,Casado,0,Rang_ingreso_04,Lima,29,1,Rango_SDO_01,1,Rango_02,0,0,0,0,8,0,0
90127,201208,0,F,Casado,0,,Lima,41,0,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
80770,201208,0,F,Casado,1,Rang_ingreso_03,Provincia,39,0,Cero,0,Rango_02,0,1,0,0,0,3,1
10241,201208,0,F,Casado,1,Rang_ingreso_04,Provincia,23,0,Rango_SDO_01,1,Rango_02,0,0,0,0,13,0,0
93668,201208,0,F,Casado,1,Rang_ingreso_02,Provincia,26,0,Rango_SDO_01,1,Rango_02,0,0,0,0,5,3,1
98721,201208,0,F,Casado,1,,Lima,45,0,Rango_SDO_01,0,Rango_02,0,0,0,0,1,0,0
47917,201208,0,F,Casado,0,,Lima,22,0,Rango_SDO_01,0,Rango_02,0,0,0,0,8,0,0
96181,201208,0,M,Casado,1,Rang_ingreso_01,Lima,70,0,Rango_SDO_13,0,Rango_03,0,0,0,0,4,0,0
3424,201208,0,F,Casado,1,Rang_ingreso_06,Provincia,34,4,Cero,0,Rango_02,0,1,0,0,0,3,1
97542,201208,1,F,Soltero,1,Rang_ingreso_02,Lima,,0,Rango_SDO_01,1,Rango_03,0,1,0,10,3,0,0
79227,201208,1,F,Soltero,0,Rang_ingreso_01,,,0,Rango_SDO_02,1,Rango_02,0,0,0,0,2,0,0
33335,201208,0,F,Casado,1,Rang_ingreso_02,Provincia,45,9,Rango_SDO_01,1,Rango_04,0,1,0,0,2,1,1
73130,201208,0,F,Casado,1,Rang_ingreso_03,Provincia,27,0,Cero,0,Rango_02,0,1,0,0,0,4,1
68122,201208,0,F,Casado,1,Rang_ingreso_02,Lima,22,3,Rango_SDO_07,1,Rango_05,7710,1,0,0,32,1,0
13982,201208,0,F,Casado,1,Rang_ingreso_03,Lima,28,0,Cero,0,Rango_02,0,1,0,0,0,3,1
69920,201208,0,F,Casado,1,Rang_ingreso_04,Lima,27,4,Rango_SDO_04,0,Rango_03,0,1,0,5,6,3,0
7073,201208,0,F,Casado,1,,Lima,32,0,Rango_SDO_01,0,Rango_02,0,0,0,0,0,0,0
68432,201208,0,F,Casado,1,Rang_ingreso_07,Provincia,47,3,Rango_SDO_04,1,Rango_02,0,0,0,0,3,1,1
50385,201208,0,M,Casado,1,Rang_ingreso_04,Provincia,35,0,Rango_SDO_13,0,Rango_02,0,0,0,0,0,4,1
44111,201208,0,F,Casado,1,Rang_ingreso_03,,,0,Rango_SDO_01,1,Rango_02,0,0,0,4,3,1,1
50754,201208,0,F,Casado,1,Rang_ingreso_06,Provincia,49,6,Rango_SDO_01,0,Rango_05,7940,1,0,0,5,2,1
38449,201208,0,F,Casado,1,Rang_ingreso_04,Provincia,50,0,Rango_SDO_01,0,Rango_03,10300,1,0,0,0,3,1
8835,201208,0,F,Casado,1,Rang_ingreso_03,Lima,23,6,Rango_SDO_08,1,Rango_02,0,0,0,0,4,4,1
11215,201208,0,M,Casado,1,Rang_ingreso_07,Lima,34,8,Rango_SDO_13,1,Rango_04,9120,1,5,13,1,1,0
9235,201208,0,F,Casado,0,Rang_ingreso_06,,,0,Rango_SDO_03,1,Rango_02,0,0,0,1,7,0,0
41716,201208,0,F,Casado,1,Rang_ingreso_03,Lima,28,3,Rango_SDO_01,0,Rango_04,2450,1,0,5,5,5,1
8570,201208,0,F,Casado,1,Rang_ingreso_02,Lima,36,0,Rango_SDO_02,1,Rango_02,0,0,0,0,10,0,0
71942,201208,0,F,Casado,0,Rang_ingreso_01,Provincia,27,0,Rango_SDO_05,1,Rango_03,0,0,0,0,5,0,0
81158,201208,0,F,Casado,1,Rang_ingreso_06,Lima,47,9,Rango_SDO_01,0,Rango_03,5480,1,0,0,1,3,1
51687,201208,0,F,Casado,1,Rang_ingreso_04,Provincia,38,9,Rango_SDO_01,0,Rango_03,0,1,0,0,0,4,1
40267,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,26,4,Cero,0,Rango_04,9220,1,0,0,0,4,1
4985,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,56,0,Rango_SDO_06,0,Rango_03,0,1,0,0,0,4,1
23812,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,26,3,Rango_SDO_03,1,Rango_04,810,1,0,0,4,3,1
79958,201208,0,F,Casado,1,Rang_ingreso_03,Provincia,34,1,Rango_SDO_01,0,Rango_03,0,1,3,0,0,4,1
3764,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,54,0,Rango_SDO_03,0,Rango_02,0,0,0,0,6,1,1
68181,201208,0,F,Casado,1,Rang_ingreso_07,Lima,30,4,Cero,0,Rango_02,0,1,0,0,0,2,1
39186,201208,0,F,Casado,0,Rang_ingreso_02,Lima,22,0,Rango_SDO_01,1,Rango_02,0,0,0,0,8,0,0
14387,201208,0,F,Casado,1,Rang_ingreso_02,Lima,36,0,Rango_SDO_02,1,Rango_02,0,0,0,0,17,3,1
12738,201208,0,F,Casado,0,Rang_ingreso_01,Lima,18,1,Rango_SDO_02,1,Rango_02,0,0,0,14,16,0,0
31984,201208,1,F,Soltero,1,Rang_ingreso_02,Lima,25,5,Rango_SDO_01,0,Rango_03,2250,1,1,0,12,1,0
80388,201208,0,F,Casado,1,Rang_ingreso_01,Lima,55,10,Rango_SDO_02,1,Rango_03,0,1,0,0,19,1,1
51615,201208,0,F,Casado,1,Rang_ingreso_04,Provincia,45,0,Rango_SDO_01,0,Rango_02,0,0,0,0,0,5,1
51074,201208,0,F,Casado,1,Rang_ingreso_05,Lima,28,5,Rango_SDO_02,1,Rango_04,4000,1,4,0,9,2,1
42916,201208,0,F,Casado,1,Rang_ingreso_02,Provincia,56,0,Rango_SDO_03,0,Rango_02,0,0,0,0,0,1,0
55031,201208,0,F,Casado,1,Rang_ingreso_02,Provincia,31,0,Rango_SDO_02,1,Rango_02,0,0,0,8,9,5,1
18576,201208,0,F,Casado,1,Rang_ingreso_03,Lima,25,0,Rango_SDO_01,1,Rango_02,0,0,0,0,27,0,0
64286,201208,1,F,Soltero,0,,,,0,Rango_SDO_01,0,Rango_02,0,0,2,0,2,0,0
83823,201208,0,F,Casado,1,Rang_ingreso_06,Lima,34,10,Rango_SDO_05,1,Rango_02,0,0,0,0,23,2,1
35507,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,24,0,Rango_SDO_01,1,Rango_02,0,0,3,5,4,1,1
29920,201208,0,F,Casado,1,Rang_ingreso_02,Lima,51,5,Rango_SDO_01,0,Rango_03,0,1,0,0,0,1,0
93911,201208,0,F,Casado,1,Rang_ingreso_01,Lima,58,0,Cero,0,Rango_01,0,0,0,0,0,2,1
88424,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,30,0,Rango_SDO_01,0,Rango_03,0,1,0,7,0,3,1
51789,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,41,0,Rango_SDO_01,0,Rango_04,7990,1,0,0,9,6,1
55044,201208,0,F,Casado,1,Rang_ingreso_02,Provincia,,1,Rango_SDO_01,1,Rango_03,0,1,1,3,6,0,0
15599,201208,0,F,Casado,1,Rang_ingreso_03,Lima,40,5,Cero,0,Rango_02,0,1,0,0,0,7,1
49757,201208,0,F,Casado,1,Rang_ingreso_04,Provincia,29,0,Rango_SDO_02,1,Rango_02,0,0,0,0,2,3,0
40900,201208,0,F,Casado,1,Rang_ingreso_05,Lima,33,9,Rango_SDO_01,0,Rango_04,1410,1,5,9,10,1,0
19858,201208,0,F,Casado,1,Rang_ingreso_04,Lima,50,2,Cero,0,Rango_03,0,1,0,0,1,0,0
59654,201208,0,M,Casado,1,Rang_ingreso_06,Lima,33,4,Rango_SDO_01,0,Rango_03,30020,1,6,0,1,4,1
78696,201208,0,M,Casado,1,Rang_ingreso_04,Lima,25,0,Rango_SDO_01,1,Rango_02,0,0,0,1,4,1,1
80659,201208,1,M,Soltero,0,Rang_ingreso_02,,,0,Rango_SDO_01,1,Rango_02,0,0,2,2,8,0,0
31464,201208,0,M,Casado,1,Rang_ingreso_03,Lima,45,7,Rango_SDO_01,1,Rango_02,0,0,0,0,4,1,1
74996,201208,0,M,Casado,1,Rang_ingreso_01,Lima,30,0,Rango_SDO_01,0,Rango_01,0,0,0,0,0,3,1
53397,201208,0,M,Casado,1,Rang_ingreso_08,Lima,29,1,Rango_SDO_13,1,Rango_04,22580,1,3,13,30,6,1
23617,201208,0,M,Casado,1,Rang_ingreso_04,Provincia,44,5,Rango_SDO_01,0,Rango_03,0,1,0,0,0,7,1
13154,201208,0,M,Casado,1,Rang_ingreso_03,Lima,30,0,Rango_SDO_01,1,Rango_02,0,0,0,1,0,4,1
10867,201208,0,M,Casado,1,Rang_ingreso_05,Lima,29,0,Cero,0,Rango_01,0,0,3,0,11,4,1
9380,201208,1,M,Soltero,1,Rang_ingreso_02,Lima,29,,Rango_SDO_01,0,Rango_01,0,0,0,0,0,2,1
80456,201208,1,M,Soltero,1,Rang_ingreso_03,Provincia,28,0,Rango_SDO_01,0,Rango_02,0,0,0,0,3,0,0
47303,201208,0,M,Casado,1,Rang_ingreso_03,Provincia,44,9,Rango_SDO_08,1,Rango_03,0,1,3,0,10,0,0
44896,201208,0,M,Casado,1,,Lima,44,0,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
65189,201208,0,M,Casado,1,Rang_ingreso_02,Lima,36,5,Cero,0,Rango_03,0,1,0,0,0,2,1
70704,201208,0,M,Casado,1,Rang_ingreso_07,Lima,45,0,Cero,0,Rango_02,2440,1,0,0,0,4,1
15411,201208,0,M,Casado,1,Rang_ingreso_05,Lima,22,0,Cero,0,Rango_01,0,0,3,5,12,3,1
4351,201208,0,M,Casado,1,Rang_ingreso_01,Lima,49,10,Rango_SDO_04,0,Rango_03,0,1,0,0,0,4,1
6537,201208,0,M,Casado,1,Rang_ingreso_06,Lima,32,6,Rango_SDO_01,0,Rango_03,0,1,5,0,13,0,0
40452,201208,0,M,Casado,1,Rang_ingreso_06,Lima,27,1,Rango_SDO_03,0,Rango_03,127180,1,0,9,0,2,0
15940,201208,0,M,Casado,1,Rang_ingreso_04,Provincia,34,4,Rango_SDO_07,0,Rango_03,0,1,0,0,6,2,0
96,201208,1,M,Soltero,1,Rang_ingreso_04,Lima,44,7,Cero,0,Rango_02,0,0,0,0,0,3,1
61359,201208,0,M,Casado,1,Rang_ingreso_04,Lima,30,4,Rango_SDO_01,1,Rango_02,0,0,0,0,12,1,0
53004,201208,1,M,Soltero,1,,Lima,26,0,Rango_SDO_01,0,Rango_02,0,0,0,11,0,0,0
76759,201208,1,M,Soltero,1,Rang_ingreso_01,Provincia,39,0,Rango_SDO_01,1,Rango_03,0,1,0,0,6,0,0
7810,201208,0,M,Casado,1,Rang_ingreso_01,Provincia,31,0,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
36907,201208,0,M,Casado,1,Rang_ingreso_06,Lima,31,8,Rango_SDO_09,1,Rango_04,170,1,11,0,22,3,1
83810,201208,1,M,Soltero,1,Rang_ingreso_07,Provincia,48,8,Rango_SDO_04,0,Rango_03,0,1,14,1,0,2,1
9571,201208,0,M,Casado,1,Rang_ingreso_04,Provincia,27,4,Rango_SDO_01,0,Rango_03,0,1,0,0,0,5,1
56741,201208,1,M,Soltero,1,Rang_ingreso_01,Provincia,22,0,Rango_SDO_01,1,Rango_02,0,0,0,0,6,0,0
52352,201208,1,M,Soltero,1,Rang_ingreso_01,Provincia,34,,Cero,0,Rango_02,0,1,0,0,0,3,1
25772,201208,0,M,Casado,1,Rang_ingreso_03,Provincia,32,0,Cero,0,Rango_01,0,0,0,0,6,3,0
47983,201208,0,M,Casado,0,,,,0,Rango_SDO_04,0,Rango_02,0,0,0,6,2,0,0
63652,201208,0,M,Casado,0,,Lima,40,0,Rango_SDO_03,0,Rango_02,0,0,0,0,0,0,0
50698,201208,0,M,Casado,1,Rang_ingreso_02,Lima,32,0,Rango_SDO_02,0,Rango_02,0,0,1,0,16,2,1
40628,201208,0,M,Casado,0,Rang_ingreso_02,Lima,,0,Rango_SDO_05,1,Rango_02,0,0,0,0,5,0,0
64266,201208,0,M,Casado,1,Rang_ingreso_06,Lima,27,7,Rango_SDO_08,0,Rango_02,0,0,0,13,8,2,1
69816,201208,1,M,Soltero,1,Rang_ingreso_01,Provincia,37,0,Cero,0,Rango_01,0,0,0,0,2,0,0
80863,201208,0,M,Casado,0,Rang_ingreso_03,,,0,Rango_SDO_05,1,Rango_02,0,0,3,0,7,0,0
48585,201208,1,M,Soltero,1,,Provincia,24,,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
12211,201208,1,M,Soltero,1,,Provincia,28,0,Rango_SDO_03,0,Rango_02,0,0,0,0,2,1,1
56564,201208,0,M,Casado,1,Rang_ingreso_01,Provincia,74,,Rango_SDO_04,0,Rango_03,0,1,0,0,0,1,0
41675,201208,0,M,Casado,1,Rang_ingreso_03,Lima,49,5,Rango_SDO_01,0,Rango_03,0,1,0,0,0,7,1
21648,201208,0,M,Casado,1,Rang_ingreso_06,Lima,49,8,Rango_SDO_13,0,Rango_04,13010,1,0,0,2,2,0
47157,201208,1,M,Soltero,1,Rang_ingreso_02,Lima,43,9,Cero,0,Rango_02,0,0,0,0,0,5,1
40817,201208,0,M,Casado,1,Rang_ingreso_01,Provincia,28,0,Rango_SDO_04,0,Rango_02,0,0,0,0,1,0,0
3390,201208,0,M,Casado,1,Rang_ingreso_07,Provincia,31,5,Rango_SDO_02,1,Rango_04,37070,1,11,1,8,3,1
67556,201208,1,M,Soltero,1,,Provincia,33,,Rango_SDO_01,0,Rango_01,0,0,0,0,0,0,0
98878,201208,0,M,Casado,1,Rang_ingreso_06,Lima,25,7,Rango_SDO_02,0,Rango_04,5070,1,1,13,6,3,1
70196,201208,1,M,Soltero,1,,Lima,32,0,Rango_SDO_01,0,Rango_02,0,0,0,0,9,0,0
1242,201208,0,M,Casado,1,Rang_ingreso_01,Provincia,63,5,Cero,0,Rango_02,0,1,0,0,0,4,1
35788,201208,0,M,Casado,1,Rang_ingreso_06,Provincia,38,7,Cero,0,Rango_03,1190,1,0,0,0,2,1
41048,201208,0,M,Casado,1,Rang_ingreso_03,Lima,35,6,Cero,0,Rango_02,0,1,0,0,2,5,1
95462,201208,0,M,Casado,1,Rang_ingreso_02,Provincia,50,0,Rango_SDO_01,1,Rango_02,0,0,0,0,10,4,1
40254,201208,0,M,Casado,1,Rang_ingreso_03,Provincia,27,0,Rango_SDO_01,0,Rango_02,0,0,0,0,0,2,1
79937,201208,0,M,Casado,1,Rang_ingreso_03,Lima,45,0,Rango_SDO_10,0,Rango_01,0,0,0,0,0,3,1
18392,201208,0,M,Casado,1,Rang_ingreso_08,Lima,34,7,Rango_SDO_13,0,Rango_04,230,1,8,0,16,1,0
95332,201208,0,M,Casado,1,Rang_ingreso_03,Provincia,30,8,Rango_SDO_02,0,Rango_04,1680,1,3,0,10,4,1
58556,201208,1,M,Soltero,1,,Provincia,,0,Cero,0,Rango_02,0,0,0,0,0,2,1
49706,201208,0,M,Casado,1,Rang_ingreso_01,Lima,70,0,Rango_SDO_03,0,Rango_02,0,0,0,0,0,1,1
34860,201208,0,M,Divorciado,1,Rang_ingreso_01,Lima,50,0,Rango_SDO_01,0,Rango_02,0,0,0,0,0,0,0
61828,201208,0,M,Casado,0,,Lima,49,0,Rango_SDO_02,0,Rango_02,0,0,0,0,7,0,0
41813,201208,0,M,Casado,1,Rang_ingreso_02,Lima,35,1,Rango_SDO_03,0,Rango_03,0,1,0,9,1,5,1
47723,201208,0,M,Casado,1,Rang_ingreso_03,Lima,27,6,Rango_SDO_04,0,Rango_02,0,0,0,3,5,2,1
91264,201208,0,M,Casado,1,Rang_ingreso_01,Provincia,35,0,Rango_SDO_01,0,Rango_03,0,1,0,0,0,1,1
29217,201208,0,M,Casado,1,Rang_ingreso_02,Lima,24,0,Rango_SDO_06,0,Rango_03,0,1,0,0,0,1,1
78004,201208,0,M,Casado,1,Rang_ingreso_05,Provincia,32,4,Rango_SDO_11,0,Rango_04,0,1,0,6,13,4,1
4323,201208,0,M,Casado,1,Rang_ingreso_04,Provincia,59,0,Rango_SDO_01,0,Rango_04,10760,1,0,0,0,8,1
80271,201208,0,M,Casado,1,Rang_ingreso_09,Lima,36,9,Rango_SDO_04,1,Rango_04,18750,1,4,14,26,4,1
92768,201208,0,M,Casado,1,Rang_ingreso_01,Lima,25,3,Rango_SDO_01,1,Rango_03,2550,1,4,0,9,4,1
47258,201208,0,M,Casado,1,Rang_ingreso_01,Lima,28,2,Cero,0,Rango_03,0,1,5,0,0,2,1
99666,201208,0,M,Casado,1,Rang_ingreso_01,Lima,31,5,Rango_SDO_01,0,Rango_03,0,1,0,1,1,6,1
11363,201208,0,M,Casado,0,Rang_ingreso_03,,,0,Rango_SDO_01,1,Rango_02,0,0,0,17,13,0,0
10124,201208,0,M,Casado,1,Rang_ingreso_03,Lima,27,8,Rango_SDO_01,1,Rango_04,0,1,0,5,6,0,0
3231,201208,0,M,Casado,0,Rang_ingreso_01,Lima,28,0,Rango_SDO_03,1,Rango_02,0,0,0,0,5,0,0
53941,201208,0,M,Casado,1,Rang_ingreso_02,Lima,24,0,Rango_SDO_02,1,Rango_02,0,0,4,0,5,0,0
68473,201208,0,M,Casado,1,Rang_ingreso_03,Provincia,37,0,Cero,0,Rango_02,0,1,0,0,0,3,1
81926,201208,0,M,Casado,1,Rang_ingreso_06,Provincia,27,0,Cero,0,Rango_02,11720,1,0,4,0,4,1
