ID_CORRELATIVO,CODMES,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
55651,201208,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28633,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,0,0,5,8,9,21,4,4,4,4,4,5,5,1,1,1,1,1,1
11835,201208,10700,10900,2930,0,0,0,1,1,1,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,4,4,4,3,4,4,1,1,1,1,1,1
46856,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
87172,201208,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,2,7,10,0,0,20,31,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94656,201208,0,0,0,0,0,0,1,1,1,1,1,1,5,1,4,4,1,2,0,0,0,0,0,0,6,8,7,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
34791,201208,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,4,3,5,12,2,1,1,1,1,1,1,1,1,1,1,1
75038,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38420,201208,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,0,0,1,5,5,0,0,0,7,16,12,11,17,10,16,1,1,1,1,1,1,1,1,1,1,1,1
28006,201208,5830,6250,6640,7040,7440,7810,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,15,25,17,13,14,2,2,2,2,2,2,0,0,0,0,0,0
28549,201208,31030,15480,0,0,0,0,1,1,0,0,0,0,11,6,1,3,1,3,0,0,0,0,0,0,24,12,2,15,16,12,6,6,5,5,6,6,1,1,1,1,1,1
46853,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,7,12,20,13,17,14,7,12,6,14,8,9,19,2,2,2,2,2,2,1,1,1,1,1,1
25925,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51712,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95506,201208,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
93127,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,5,0,0,13,18,13,12,5,23,0,0,0,0,0,0,0,0,0,0,0,0
45679,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,24,7,0,0,2,2,2,2,2,2,1,1,1,1,0,1
99370,201208,2390,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,2,2,1,1,1,1,1,1,1
70763,201208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,3,2,2,2,1,1,1,1,1,1
5450,201208,0,0,0,0,0,0,1,1,1,1,1,1,6,11,7,7,6,5,0,0,0,2,0,0,17,7,8,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0
56705,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,12,8,15,15,11,5,3,3,3,3,3,2,1,1,1,1,1,1
37134,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82302,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
46299,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
25922,201208,13270,14210,14780,13880,13050,13580,1,1,1,1,1,1,9,10,8,15,8,11,12,4,0,6,1,2,1,0,0,1,1,0,3,3,3,3,3,4,1,1,1,1,1,1
99869,201208,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55820,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64281,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67127,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,4,2,2,2,2,2,2,1,1,1,1,1,1
4557,201208,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,1,1,1,1,1,1
85780,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28290,201208,49600,51070,59220,60600,59590,64290,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,21,18,21,23,19,3,3,3,3,4,4,1,1,1,1,1,1
57485,201208,66680,75880,71480,67300,66990,66790,1,1,1,1,1,1,1,0,0,2,3,3,4,4,4,2,2,4,15,17,9,7,10,11,4,4,4,4,4,4,1,1,1,1,1,1
29738,201208,0,0,0,0,0,0,1,1,1,1,1,1,9,7,3,5,5,6,0,0,0,0,0,0,21,29,15,15,17,20,1,1,1,1,1,1,0,0,0,0,0,0
85294,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,5,5,5,1,1,1,1,1,1
28890,201208,0,0,0,0,0,0,1,1,1,1,1,1,8,7,1,0,0,0,14,12,0,0,0,0,16,29,18,14,12,26,1,2,2,0,0,0,0,1,1,0,0,0
19516,201208,1240,1400,1500,480,920,1370,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,12,13,16,9,6,2,2,2,2,2,2,1,1,1,1,1,1
27070,201208,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,14,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68451,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,4,5,0,0,1,2,2,2,2,2,1,1,1,1,1,1
82332,201208,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,7,8,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
573,201208,12200,12540,12790,12720,9820,10030,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
62833,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1
14382,201208,116330,117060,117780,118520,119220,120000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,2,3,3,3,3,3,3,1,1,1,0,0,0
94695,201208,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3,5,2,0,0,0,0,1,2,0,0,4,4,4,4,4,3,1,1,1,0,1,1
87469,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1
70802,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81082,201208,671350,672780,674190,675300,674760,674900,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,5,5,5,5,1,1,1,1,1,1
1364,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0
90127,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80770,201208,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,1,1,1,1,1,1
10241,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93668,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,5,15,4,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
98721,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47917,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96181,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
3424,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,0,3,0,0,0,2,0,2,3,0,2,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
97542,201208,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,12,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79227,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33335,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,9,5,4,1,1,2,2,2,2,1,1,1,1,1,1
73130,201208,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,1,1,1,1,1,1
68122,201208,7710,7800,260,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,18,25,33,25,1,1,1,0,0,0,0,0,0,0,0,0
13982,201208,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,1,1,1,1,1,1
69920,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,5,4,7,2,1,1,6,4,4,4,4,1,3,4,4,4,4,3,0,1,1,1,1,1
7073,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68432,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,9,3,1,1,1,1,1,1,1,1,1,1,1,1
50385,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,4,0,4,4,4,4,4,4,1,1,1,1,1,1
44111,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
50754,201208,7940,8350,8710,8970,9060,9440,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,7,19,18,2,2,2,1,1,1,1,1,1,0,0,0
38449,201208,10300,3990,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,1,1,1,1,1,1
8835,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,8,9,5,4,4,4,4,4,4,1,1,1,1,1,1
11215,201208,9120,5620,2300,5590,3630,4010,1,1,1,1,1,1,5,0,0,0,2,0,13,12,9,14,10,12,1,2,2,5,2,2,1,1,1,1,1,2,0,0,0,0,0,0
9235,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41716,201208,2450,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,5,2,0,2,3,4,5,0,0,0,0,0,5,5,5,4,4,4,1,1,1,1,1,1
8570,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71942,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81158,201208,5480,5860,5580,4430,5230,5660,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,3,3,3,3,3,1,1,1,1,1,1
51687,201208,0,0,0,5530,9300,9560,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,4,4,3,2,1,1,1,1,0,0
40267,201208,9220,9550,9860,10170,10480,10790,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,2,1,1,1,0,0,0
4985,201208,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1
23812,201208,810,450,360,280,100,130,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,4,5,3,3,3,2,2,1,1,1,1,1,1,0
79958,201208,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,5,6,1,0,0,0,0,0,0,0,4,4,3,3,1,4,4,4,4,5,5,1,1,1,1,1,1
3764,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1
68181,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
39186,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14387,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,4,0,0,0,3,3,3,2,2,2,1,1,0,0,0,0
12738,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,14,10,11,4,16,14,11,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0
31984,201208,2250,2490,2710,2910,3000,190,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,12,2,1,9,1,10,1,1,1,1,1,1,0,0,0,0,0,0
80388,201208,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,27,18,35,63,1,1,1,1,1,1,1,1,1,1,1,1
51615,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1
51074,201208,4000,3100,0,0,0,0,1,1,1,1,1,0,4,7,6,4,3,4,0,0,1,1,2,1,9,9,9,8,14,7,2,2,2,3,3,2,1,1,1,1,1,1
42916,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
55031,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,7,5,3,0,0,5,5,5,5,5,4,1,1,1,1,1,1
18576,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64286,201208,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83823,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23,30,16,7,29,14,2,2,2,2,2,2,1,1,1,1,1,1
35507,201208,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,0,5,0,1,0,0,0,4,4,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
29920,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,10,2,1,1,1,1,1,1,0,0,0,0,0,0
93911,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1
88424,201208,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,3,0,2,0,0,3,4,4,4,3,3,1,1,1,1,1,1
51789,201208,7990,5420,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,1,0,0,6,6,6,6,5,5,1,1,1,1,1,1
55044,201208,0,0,0,0,0,0,1,1,1,0,0,0,1,5,0,0,0,2,3,0,0,0,0,0,6,5,6,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0
15599,201208,0,30,0,0,40,80,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,6,6,1,1,1,1,1,1
49757,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,3,3,3,3,0,1,1,1,1,1
40900,201208,1410,2460,12380,11070,11200,23250,1,1,1,1,1,1,5,6,7,12,9,7,9,6,11,9,5,11,10,4,11,20,15,17,1,1,1,1,1,1,0,0,0,0,0,0
19858,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59654,201208,30020,24430,11660,11940,12190,12380,1,1,1,1,1,1,6,5,2,3,1,1,0,0,0,0,0,0,1,1,1,1,0,1,4,4,4,4,4,4,1,1,1,1,1,1
78696,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,2,0,0,4,32,5,3,0,0,1,1,1,1,1,1,1,1,0,1,1,1
80659,201208,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31464,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,15,12,10,11,1,0,0,0,0,0,1,0,0,0,0,0
74996,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,0
53397,201208,22580,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,13,9,5,16,8,7,30,13,12,6,7,10,6,5,5,5,5,5,1,1,1,1,1,1
23617,201208,0,0,0,50,330,650,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,1,1,1,1,1,1
