,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12
1815,b85ecbd9142f3c482af166be66ccdeb263c988e49c6cf29aeb4546bba1b59e9c,33,3564,267,29.0,0,0.0,0.0,0.0,-999.0,0.0,56,38
411,64688d53c766fc05ca044889aad1e65d8a5fc93bd2b71a396b39cc8f596d8bb1,30,945,105,59.0,1,400.0,0.0,643.0,49.0,1.0,19,28
5205,9dc35a8407310d2cce39154e809d5d9adca23f607e73dd65d7f7d9405e9d4d19,0,2880,146,34.0,1,1600.0,0.0,829.0,51.0,553.0,56,38
2712,21a0d387bc748adc0eb24c308052d8442b06f2babee9155726c1ac8fdced4c83,0,1713,219,55.0,1,564.44,0.0,803.0,44.0,303.0,56,38
4875,3535d9be72c3e4dffe03dd163a01ace2926de273132497146364a31dae1826c7,0,564,285,45.0,1,0.0,0.0,0.0,-999.0,238.0,77,54
4608,ce804be358a5181680bc16c6b0fabf2952547625240a3319799a52cb0702023c,89,788,300,24.0,1,525.0,0.0,0.0,61.0,0.0,56,38
5518,5db7a5d3042a3fca82d6283e786de752afa48f2081fdc76502931c1ba236207f,0,3420,88,44.0,1,0.0,0.0,0.0,-999.0,0.0,16,21
872,734aa063cc540cd55aacdbc835d7520d048483e87eea9a1dff93440f684a68c1,30,3435,81,30.0,1,550.0,0.0,557.0,43.0,1.0,21,19
1851,1a45939a3ee49961174553f83e11dc2963ac6fe4b9a546edd5466c0dac20daf8,30,1398,267,48.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
4030,a996aed255922803262227573f818bbfc586ffb895a28b4fc053f81d6f9a68b5,0,3564,70,31.0,1,742.09,0.0,812.0,90.0,587.0,56,38
2287,cc3bd33edd5b72e5871e5c3b6a3d2ebcfe46611c1150e34d874555c8d6ce981c,123,945,174,32.0,0,570.0,0.0,775.0,26.0,133.0,42,31
2453,a31970e31e3b4e104b1ab9452f928bfd2279a19da4d25c8ea4bbe547a02b2fd3,0,2060,8,69.0,0,0.0,0.0,0.0,-999.0,538.0,56,51
3722,439ba3b104abb1cdc3bb7e2a5883645355e62dec4584cdc5f87e85348582c1ef,0,2457,229,34.0,0,0.0,0.0,603.0,-999.0,416.0,58,18
1505,558f68d68a8e55a34a97c2f137ea6d3634fcf7020ed732e532fa0be9867ef037,59,1001,22,33.0,1,0.0,0.0,0.0,-999.0,0.0,16,5
3660,078701f4e3aaf0e575cd70c958127ee8ac7e48972964d54709102479fdd1d964,0,2590,70,35.0,0,0.0,0.0,677.0,-999.0,393.0,56,38
3295,933ee041fd8df1c5ae6c3abbc61cc8554fcca88ae523ca6d29667e6029324f44,60,2783,213,41.0,0,2094.82,0.0,649.0,229.0,314.0,56,38
2358,4638d047e9ddb0e289893fe05a0281df1b6241c2e19ab64d3a7940d68a007da4,0,3423,267,55.0,0,0.0,0.0,625.0,-999.0,573.0,56,38
2440,f5606cc0c16d722d9545c525f0d39f0c3c5481186a557b6f04bfde6c935ea4f5,0,66,83,72.0,0,0.0,0.0,0.0,-999.0,569.0,16,20
4964,e5bb30d3ca2ee9547f8b618691b99470a6c62608d8258b12173999ad53516a40,30,3205,16,36.0,1,2118.28,0.0,423.0,79.0,0.0,56,51
603,8973774aea81b03dbec66899d17fbad69e0813c2698b9b981856eadc9e394657,30,2047,267,26.0,0,777.73,0.0,686.0,65.0,3.0,56,38
1975,e54c5e99289ea0d628468990131f2378117e77d76789661ac944783eea174aef,33,3385,316,52.0,0,0.0,0.0,0.0,-999.0,1.0,56,2
4887,10ede0261a938f10313c03fd77e5056293f2263701fd39140ca79f4b146d4316,0,2366,222,44.0,0,0.0,0.0,0.0,-999.0,480.0,19,41
426,73d816eb28ffb1a4ba14d5052002bcb3b818ca6e9028fd0bc6cd5e16785b1825,0,3469,2,96.0,0,0.0,0.0,0.0,-999.0,0.0,19,0
2321,6fef950c9353dab2b2cf3b02d6c639a20cd2a1a2781fdfeecff6cbec24a1e8f5,0,2097,146,32.0,1,0.0,0.0,0.0,-999.0,243.0,56,38
5492,3793e6f037f30efa0ca967d5ed62eb2c4c9c11c2d6a23f68ad9ca6824579c51c,0,1180,146,34.0,1,0.0,0.0,608.0,-999.0,250.0,56,38
1378,71890028b7c9cfbd6b5e42222ce1d17060ca5afa19c2b3bc709a13b7d58e1c3f,60,1400,59,39.0,1,1013.23,0.0,507.0,73.0,500.0,21,19
4863,4465e579d9e5193c046b152685520e006cedc4858ac7cd04db8e8219036e4a4f,0,2060,285,71.0,0,0.0,0.0,0.0,-999.0,569.0,77,54
497,941984b63c1c3f01f72b20cbec36e1c0f62530580b350f28781ef9896db7dadc,0,1097,300,41.0,1,0.0,0.0,0.0,-999.0,313.0,56,38
1607,ccc080b8ae6308ba49ca70c28da157e508f5f677681c5b688b6e68251d327bf8,0,967,150,28.0,1,557.44,0.0,622.0,46.0,204.0,16,8
863,746718cac36c442a22d6b3bcebe50f35bd5d2b1116ec9b9bf64f6dd624993b00,0,452,59,29.0,0,1447.62,0.0,907.0,68.0,539.0,21,19
4334,de83c2f20fe7e4d51081cd19becf6a3500bb5ff224e2e27b8958671e071f93cf,0,973,27,28.0,0,825.0,0.0,440.0,88.0,321.0,56,26
395,91ff821e1622045b167d5e991219c3aa534d6f1be57aea5094b55426941d273c,43,906,167,55.0,1,844.35,0.0,644.0,52.0,130.0,56,38
2466,63ff73d5583eb50f96421e8667287ff1f7a8b7aecdc87ed4e73fe8308bb28bbf,0,3564,146,64.0,0,0.0,0.0,0.0,-999.0,12.0,56,38
3666,bc718794cb74d0220b5024d7c3873dadccc96ee4cda363a63120c1c33b638e4d,30,3564,242,35.0,0,520.8,0.0,369.0,96.0,0.0,56,26
2431,1af2a6c12a45357aed753350e7577334e7f61fd8e407ed6e8105dcd9ee6a43fd,0,2067,8,76.0,1,0.0,0.0,0.0,-999.0,839.0,56,51
1836,ebc2639eacb04ab1e7d86d84fa77c7d0b3fa96969f63e696a668f09dc9b9cd50,63,1971,146,60.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
369,508c7014ec5563f840fd71798bb0ba14a1454eef7e87ba804f0caf937d10c5d8,71,3304,37,35.0,0,0.0,0.0,0.0,-999.0,0.0,56,38
1013,c35513ba0b1b3108cc71abb5145f3f351603a06e8a09a3dd1745fe1b03e46c2b,30,822,81,49.0,1,918.0,0.0,857.0,128.0,1.0,21,19
4394,0d5156724e25bc3c8ca330c896e7923e8ee1bb3d9755260446668b3e38dc84fc,59,351,167,27.0,1,675.0,0.0,690.0,28.0,128.0,56,38
5798,3046965eef14ab7b98846995bb7def3943da5be5d2208460d16e219c7861167b,0,1151,37,29.0,1,5750.0,0.0,691.0,90.0,337.0,56,38
459,75804a1a5ef4f37662f3f502381a0f46f1b3042aafdfc833b52d22ae1678b9af,0,1815,222,56.0,1,1970.0,0.0,0.0,222.0,106.0,19,41
3335,26f54fd1e5258125e24bed8d791ab6f9b32aa0e048fa3ee44c13aa6a92ab718b,0,3440,167,40.0,0,465.0,0.0,0.0,136.0,66.0,56,38
3902,0dffc68028607af055cc6e7687332d9adea3510e6176d2e694da49da2f9ef431,0,3209,312,32.0,1,1280.0,0.0,718.0,80.0,0.0,56,51
4157,708222f59f9496e75114813593443ae70fb50a1da40c6e67de205d55f2e086a4,0,1618,17,30.0,0,500.0,0.0,455.0,48.0,84.0,55,61
2828,65850c01bc2c73c43975ba9d1c36fe96bab3ca677a936a1d16b771dcee954cfc,0,2383,144,61.0,1,0.0,0.0,0.0,-999.0,458.0,56,51
624,db02b9b0c23ccf726ac52b848ac91de3520c7566a4731a8a9958dbcfff171bc1,121,2733,222,23.0,0,557.44,0.0,752.0,25.0,0.0,19,41
343,476c5657250a9522a23cf49158e2f439a5f2d3bbea592e3410347262bb3cfe80,0,603,219,47.0,1,0.0,0.0,0.0,-999.0,427.0,56,38
5988,1c2fbb3df424de1ddc981955eda5d001dd1e281cf85ca58fd7cb7dbbfa4b670b,121,1815,121,45.0,0,0.0,0.0,0.0,-999.0,0.0,76,72
204,70297f20c56c38a28a45dc3d653e9f9daec5c946f80d6996998162d2ef5b172b,60,3264,26,25.0,0,530.4,0.0,467.0,49.0,0.0,58,18
1865,195579bf1b6e24f9f33d2881a86cb8b6172c5028442b053f0f8b54f93dc6d9fc,30,1815,198,35.0,1,5873.0,0.0,768.0,-999.0,0.0,26,43
1990,fc8c47f47241e59622fa3d986970adc3d9c51e66a7ad96ed77677a5c7b3f8b0a,0,3440,148,49.0,1,725.0,0.0,673.0,123.0,148.0,39,17
2673,e0c992fb82bd92a1b5e24dca687c1f4a981cea60cb50cda95fe7e625ac784e90,60,2463,17,51.0,1,530.0,0.0,685.0,94.0,0.0,55,61
1706,ec83c84fe572f69100af41cb02cfeebba3579394f9f846ac6a3e35e53266f9bd,0,1261,83,25.0,1,0.0,0.0,527.0,-999.0,302.0,16,20
743,ba6e7cd3113e2fce291220fc9c0b7168811259c4d31e45a4b2cfe5e57d02790f,0,2056,59,68.0,0,0.0,0.0,0.0,-999.0,591.0,21,19
1826,22e5da5064ea47bf27ad35bc244820e887af68bb4359c542009ba345e7e376ef,0,3147,267,34.0,0,0.0,0.0,0.0,-999.0,0.0,56,38
1221,4d8dea3ae0f14fbe306556de63d7722bf98f8cfd48c9e210b6dc515d904e2966,33,93,300,48.0,1,0.0,0.0,0.0,-999.0,1.0,56,38
1333,a935a58795a740c0e81db41ea67324298146a6243f9a117a238e76af7d9dd23b,89,1815,83,41.0,1,1524.33,0.0,545.0,112.0,0.0,16,20
5303,45849877733f58af257f532a2479db5be908479ebba2d9df0fa9f03884dede39,303,2430,35,25.0,0,0.0,0.0,0.0,-999.0,0.0,56,38
5896,ee9924d2764fb7bf4979aeca6e941db7fbd135c858ecae6e83c56bf4839f7afb,0,1815,29,54.0,1,0.0,0.0,0.0,-999.0,0.0,21,19
4900,b5eeff877bd5e7c5fb9ea54c603171a2b9292f55c16d8b3561455c3db9ee8bf5,0,3564,213,42.0,1,0.0,0.0,0.0,-999.0,5.0,56,38
2565,4b1d742c3c884b9f0ad3728e58a56b4cf852750e1e42f698d212bb3889a51329,0,3564,34,55.0,1,0.0,0.0,0.0,-999.0,401.0,56,51
1019,a07435d577d077db46386b1eda4f7f4cfb6888443848016197e194991c2f4ebe,0,1382,317,42.0,1,0.0,0.0,0.0,-999.0,0.0,16,8
4547,3d665769ecb6583b428bcee040ca9074aa77ee4c314a3c6e1904fe51a8268359,121,3316,311,27.0,0,540.0,0.0,455.0,58.0,0.0,56,2
4060,151ef221647fcfa9561e87c066b762b44744c50b9471986f9e1dd452fb5fcd70,0,3225,135,30.0,1,0.0,0.0,0.0,-999.0,636.0,56,26
1163,ed30b6b2c1bc1f1fe2513cfebf4e94a8627ab52056b701b3640ea46813ca62d9,30,1815,135,54.0,1,580.0,0.0,551.0,87.0,0.0,56,26
3634,9e67d09f348a62844e7154a8f6e421e81587f8a276dd908cab378f75b7599f03,38,3323,300,35.0,0,556.57,0.0,722.0,60.0,151.0,56,38
1128,0993dbc65171f9a0208d51e9f82f8b5efaf040449cc74b1884ad9c5b0d757d54,0,19,221,75.0,1,0.0,0.0,0.0,-999.0,524.0,16,20
567,347654b47ee4e9db601041d2ac540bcbdf3f80cc67f45a3dd18a24ca1387cdf3,121,3564,216,31.0,1,540.8,0.0,785.0,21.0,166.0,55,70
3800,f1af7b24f6e3113dd7ee60fbe63e67f08cd2a16ad18bbc94607a6b22219e8f7f,33,3543,27,33.0,0,850.0,0.0,886.0,118.0,267.0,56,26
3198,2786615730edfe65358f324496bd2ddfbff8bc786acafe91d92d59054a42ffd9,0,2597,70,47.0,1,1400.0,0.0,656.0,62.0,225.0,56,38
1125,5d735db7a5c10da568db4a3f8605a29c66c382464e55e340d2f041c9f5d7e8db,0,328,49,54.0,1,0.0,0.0,0.0,-999.0,417.0,56,38
3667,70f11a7502f9013e9498e035962d20a61ec54837f70b62ab629a233af86152b1,0,719,100,35.0,1,1000.0,0.0,506.0,27.0,176.0,56,26
4846,2200ea4c76c5570ef7fffa50b9f38b18170e069f06d2f8d42f6f33ed57829403,5,45,213,48.0,1,0.0,0.0,0.0,-999.0,59.0,56,38
3917,b596d8b1d741f820a7472dc8ae0cc846f3321e9b88ec8749cbdf1828bb29fbed,30,457,213,33.0,0,380.0,0.0,755.0,17.0,500.0,56,38
2726,0eb536225fbbbe0d540ec526d0d1d42009005b1722a4fb0928740085f4aac513,0,958,219,50.0,1,0.0,0.0,813.0,-999.0,827.0,56,38
4744,7607c438376daf39f83b0b8b781477590b0d31da93a9a41d3b8ad95867b4253c,149,3521,37,58.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
1806,670b273674898feaef1daac399bd8b14022ebf9072bee6233862cec561858ce1,83,461,67,52.0,0,0.0,0.0,0.0,-999.0,0.0,6,63
5223,f9ce80583c6fcad005651e623de63c37d0de908d3914ca0a518060848f964168,0,3287,37,48.0,0,0.0,0.0,678.0,-999.0,942.0,56,38
5932,79969bc8c8ac34d1127a3706a49ba2e25383376d2145f1658c386cdb8e4e5a8c,66,2322,67,45.0,1,0.0,0.0,0.0,-999.0,0.0,6,63
2817,b18920813997b78a0d0041599e7a9ae158c763afabd8befe4f4efe4dfef8c9ce,30,904,285,48.0,1,800.0,200.0,548.0,118.0,1.0,77,54
3191,5cbbb8602d0337e38fd375a9d3457836b383860fa972295386a2696de96a9e8d,0,367,197,46.0,1,550.0,0.0,662.0,104.0,64.0,56,26
3982,9f23109d0436c3a946000d4c6c29ccd0a1ba1e73d1ff0e5c1f87783b4cd26c05,0,2114,239,31.0,0,1143.21,0.0,636.0,84.0,106.0,56,38
2097,f6b76c80255f2610257b47756deb691a6d671a570290e898c6ec967dc0f1771e,0,2937,17,27.0,1,886.67,0.0,558.0,86.0,0.0,55,61
1452,d51c83e86ad4fbba3560c36511b6d056ee304af8d1e6803033d0b6f6fc4f67a1,60,1815,241,35.0,0,2766.67,0.0,540.0,101.0,165.0,16,5
5031,b2dddfc2fce32f09bdd5f63de2ed6ce5ec9080ff6a3e664c5f9d8a213e23bea8,5,1671,300,31.0,1,322.4,0.0,791.0,34.0,19.0,56,38
17,30633c1e4f5a89db4dde0724015209e1c1f546b411739413340fe0e6feb4c849,0,1239,267,40.0,1,4722.0,0.0,633.0,129.0,85.0,56,38
3492,1c9e251f11da652da53da3255bb408def689afe64557adac1998bfba0c541dbe,180,861,211,38.0,1,0.0,0.0,0.0,-999.0,0.0,56,51
3488,c9471b7d1f1763c30cf48c63c320a0efbc98294adf915194f3e4fe53e9211d5f,30,3393,300,38.0,1,780.0,0.0,730.0,49.0,4.0,56,38
4276,004ef095cf44493f171883c13e0be387cd09bbabf8c9c34231d3a8c702f669d7,30,3564,216,28.0,1,1836.25,0.0,670.0,84.0,0.0,55,70
1220,7a4dfdd67142884cd8175ec69ef99a21a93f65973e15c66392b3ef0c2fcc51f5,0,2064,83,70.0,1,295.0,0.0,719.0,-999.0,646.0,16,20
1195,3179eca40195e0fee541a09a518cb8bcc6c8576b75c6da2c9d9ed59497d1d69f,0,3564,10,54.0,1,0.0,0.0,0.0,-999.0,628.0,56,38
3795,270e24e4c1e9ce9fbdc5a26c889e45a536e227479b2cb349d6482fa3649abeee,30,2871,300,33.0,1,1160.0,0.0,712.0,33.0,142.0,56,38
5799,9143a6e64cb5b0d1b0332fa0e85f04f02682e051918fcd73fdf875df9da5d2dd,180,926,10,46.0,1,10000.0,0.0,796.0,125.0,0.0,56,38
5490,38d8f467fe6aab26d5e69950403990e6738883e0417c1112bb7e32398d65bd7f,0,259,146,43.0,0,3167.0,0.0,857.0,64.0,712.0,56,38
3975,6cc42e59dfa2b6e555c9b8f616aff540c5a12bd0fefd5415c72cf3d6312ffc8a,0,496,167,31.0,1,549.12,0.0,663.0,16.0,471.0,56,38
4780,bdf62c8a60ceedff9dc74193ac0c84647c1ad79e96515070e355198b96759d17,30,564,285,61.0,1,3069.78,0.0,848.0,174.0,0.0,77,54
5300,d891ccce06cd8ba269dcc6036174144203561df38c4861014f2ce24ff4baf224,60,2720,8,38.0,0,0.0,0.0,576.0,-999.0,216.0,56,51
2924,4965aedb9c42fc9007567ee75f1923e5ab283eac406a703111c7a4e1b8f2dbb8,66,1834,73,48.0,1,0.0,0.0,0.0,-999.0,0.0,39,17
3123,a5b0e8adfe274e187009e03b9e958f158126c69fe81c753d9ea903064e5df6c7,33,2832,213,43.0,0,555.36,0.0,679.0,79.0,144.0,56,38
1953,d406bc926eb7264b5f666fc7afbb74e67c494136cfe2c4463c328b3376f4d2c8,0,1376,201,51.0,1,2412.26,0.0,960.0,145.0,873.0,39,17
5426,e3c05227a1598c0729ab53e911f9e26a4ffbc6125f7f03fde1fb5d5f3b6b1486,33,2454,267,47.0,1,0.0,0.0,705.0,-999.0,468.0,56,38
2609,0315cf97f13307d3ec002f7878c40a682b90219be8870d8fcc091b132db8a344,0,3519,35,55.0,0,0.0,0.0,644.0,-999.0,297.0,56,38
4694,487d4db85088388bcfd20c16e74f8f301d8c15d4c96f9497041e9869356438ca,0,2590,221,22.0,1,0.0,0.0,539.0,-999.0,368.0,56,38
5239,d3eeefd1a14784f72caa4b287118cb38d4cc8ca8e5aa71a4f911c881fa3ab84d,30,3258,146,61.0,1,0.0,0.0,0.0,-999.0,404.0,56,38
387,cb8c0287ee0ed1a6c06c8c905155944a0f5ef5551af6c25824378382ead605ec,0,2068,67,69.0,1,0.0,0.0,0.0,-999.0,538.0,6,63
4409,8484bebde0f637507974c8fbb1d7fc1b96e401fca840863740bf83044724820b,60,945,209,26.0,0,700.0,0.0,812.0,36.0,0.0,56,2
4618,a2a43fbd6765832ce01f6cca59d52ab5cb43aa0731644d1949d69bda1502fde8,152,3564,316,24.0,0,629.84,0.0,583.0,13.0,0.0,56,2
3990,4e10b1c78e11c356212f9df8037b69c079d6ff4186181f02250bf28e8a308ca8,0,2302,316,31.0,1,0.0,0.0,0.0,-999.0,649.0,56,2
150,05c05a8affbc14b670c82ccecc0c6b8148265bf684defe37a1a5ff61068904c2,0,948,67,28.0,1,0.0,0.0,600.0,-999.0,896.0,6,63
2062,ae80774c995187dd21f479119d747d14c6e4cf5f7383f2b080376df268b80227,152,1584,201,39.0,0,530.4,0.0,496.0,23.0,0.0,39,17
4665,fc6c45515fa827f1840038e00ecf06b12799f19784349f0da749d97770168495,0,3367,300,23.0,1,557.44,0.0,571.0,38.0,118.0,56,38
4109,7659a0437a43d4806d07e54deaf77673716fc1ad2ff007cbef88c785572761fd,89,1364,34,30.0,1,1000.48,0.0,316.0,86.0,500.0,56,51
1436,f79389653780c6d7b9c3f06a69a9af0245fac470577504f352fbe330d944c4cc,0,1142,83,36.0,0,500.0,0.0,727.0,71.0,176.0,16,20
510,460bb75cf30c8f5a580cda74ef929dc30a3ccaac68e7cfc6057747804fa38117,119,2697,167,38.0,1,613.6,0.0,893.0,12.0,135.0,56,38
301,564755e43ff3857bad24f82baae4e0c068251fd668e641eb9cfecd4fbe6c9cbf,0,1815,37,54.0,1,0.0,0.0,740.0,-999.0,588.0,56,38
919,13ab5c69c70c21f9d8d933321bd7fa10b3ff295bf57079cf250da0e16e1319cf,60,2039,81,26.0,0,530.4,0.0,699.0,33.0,0.0,21,19
2733,771e3d0d3bddfa7a7c689aaf615850ab3736342ea896cb351bb5c98ad8b49c9b,30,1100,300,50.0,0,894.01,0.0,562.0,66.0,0.0,56,38
922,c1c7d9902370f0bc8b5bd3e4ec33784e90ccf1e82e2e4cb484807959aff79b9c,50,2556,267,58.0,1,0.0,0.0,0.0,-999.0,10.0,56,38
3590,cf3093d1e15ecf0b5bd6d644e29e265dad421cb89aad1c6c6519f7d7c3e6ec34,149,1133,100,36.0,0,656.86,0.0,789.0,44.0,106.0,56,26
1135,bbabdaa65ba775063b8f02271943478b59451243574fd9a0b9357aa4919cf8f4,0,1815,170,54.0,1,2614.41,0.0,824.0,158.0,222.0,16,20
5845,3c1dd89434225db3648b5b8362e4265d8524871f86cefe5ceeaf75d2ba33aead,30,3215,267,44.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
5044,2a0e17235d8a20ac0d5cee0390260ec13c4fb4d595f8c0d932cdfe7a4f0b9d9c,60,2807,116,31.0,0,1830.0,0.0,764.0,110.0,0.0,18,59
3153,e7e10a6cf759b20882372c94122af2cf8182226ae9208f7cf2bcf47425f15b2a,0,2372,219,51.0,1,0.0,0.0,0.0,-999.0,457.0,56,38
2186,fc01e268d9d72550e0c9ddafe978d16deeeecbca653b9ef57329d68e385f8205,0,828,25,61.0,1,0.0,0.0,0.0,-999.0,0.0,40,72
2533,5a88752fa8186bd05cf877d6590ceb4cf4e650e3c178e916374a382681745414,96,2364,300,59.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
3510,2377f01337089b2fe589f9dc36011e4b7c71ccd866ade152d920da217690bb6d,90,1815,219,37.0,0,1100.0,0.0,747.0,105.0,203.0,56,38
1636,2fc4614988f80bb6d9ca06efbc0528ff9c5c7a62f6641a3eac189efaaf63b5ad,60,1815,46,27.0,0,5328.16,0.0,815.0,114.0,213.0,16,8
2702,6e8c2e775593f77b1db1cb6063fc4dbb393b9a1c1982f807c9d5c79c1c911200,33,1688,97,51.0,0,582.76,0.0,532.0,79.0,190.0,56,38
2784,db048a59a775d9f93410c825dce852ea059c1c746e3d9e7c49680e8ff3044eb4,0,1961,10,50.0,1,0.0,0.0,0.0,-999.0,619.0,56,38
5286,8d0889d9358d87c15b71cc7040ed408f21076a06b9337b7394f3504432878d9b,0,3094,63,47.0,0,0.0,0.0,0.0,-999.0,212.0,15,72
5115,22115b8fe54eb24ec1ee21f2a13f28ad133a1756103d75fd0386be37a3f407e0,0,1154,285,23.0,1,653.11,0.0,631.0,23.0,495.0,77,54
765,18f1e3d483d040ced9f918933ed7d857e582feba01300463f0e45d1cd9c81eee,0,2634,81,41.0,1,814.08,0.0,870.0,45.0,245.0,21,19
651,4ee74e15315d83c46256ad244d8eab5a54fb943920099e8d2b695315c9f8eda4,0,548,30,57.0,1,1856.03,0.0,853.0,253.0,161.0,18,59
644,d133eb40b078f9c02ec4ef283dcd34f79a5b718d7b5b050b61e3938d5769fa6c,5,320,17,60.0,1,0.0,0.0,0.0,-999.0,274.0,55,61
3536,081d6bd3d92bbb73814519aede4ec7ec38d76804749ffd6af55ddab66d5cda50,30,222,82,37.0,1,693.12,0.0,854.0,47.0,0.0,56,38
5186,82e0462fbf7dff78ef2843e31b0095f03c1de0389811963f5b0ab7bc800af481,30,1666,275,40.0,0,2700.0,0.0,697.0,68.0,280.0,16,20
527,dde0966d3d65b378b9ed48efdd282d6e5a4a7a24c33f8d976d036c9e71ca867a,0,405,100,37.0,0,1845.66,0.0,542.0,102.0,208.0,19,41
4173,44edb9ab29c3f578885a99c07634b78ba6bf7069dc24bb037106753078d5eed2,33,1263,300,29.0,1,1000.0,0.0,826.0,24.0,91.0,56,38
5506,1dbea1c74f78f99a12c3565bbf89d79d5887041fcfac86ed7c56c88747fc4fcf,152,3564,35,32.0,1,3800.0,0.0,828.0,87.0,0.0,56,38
4136,a7cf351bb6948eba4d3c89489042e450dd0f13392af7b36af6b39a0d91031f26,0,172,167,30.0,0,618.0,0.0,0.0,84.0,33.0,56,38
1889,cb7e79c12fb4ea1714d533580d55cd54c40c025a422a6be472c6c6f93c95e211,0,2062,317,68.0,1,0.0,0.0,580.0,-999.0,266.0,16,8
