codCliente,rangoEdad,rangoIngreso,flagGenero,flagLimaProvCliente,ubigeoCliente,rangoCtdProdAct,rangoCtdProdPas,rangoCtdProdSeg,flagBxi,saldoTcEntidad1,saldoTcEntidad2,saldoTcEntidad3,saldoTcEntidad4
1923,Rango6,Rango6,1,1,270,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
29833,Rango2,Rango4,0,1,272,Rango1,Rango1,Rango1,0,Rango1,Rango2,Rango1,Rango4
19318,Rango5,Rango1,0,1,270,Rango1,Rango1,Rango2,1,Rango3,Rango1,Rango1,Rango1
2239,Rango6,Rango6,1,1,77,Rango1,Rango2,Rango2,1,Rango5,Rango4,Rango1,Rango1
14428,Rango2,Rango2,0,1,243,Rango1,Rango1,Rango1,1,Rango1,Rango4,Rango1,Rango5
20314,Rango5,Rango4,0,0,88,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
13327,Rango4,Rango4,1,1,77,Rango1,Rango1,Rango1,1,Rango4,Rango1,Rango1,Rango1
26123,Rango3,Rango1,1,1,272,Rango1,Rango1,Rango1,1,Rango4,Rango1,Rango1,Rango1
9728,Rango3,Rango3,0,0,357,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
25195,Rango2,Rango1,0,1,272,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
29308,Rango3,Rango1,0,1,272,Rango1,Rango1,Rango1,0,Rango2,Rango1,Rango1,Rango1
4295,Rango5,Rango1,1,1,272,Rango1,Rango3,Rango1,1,Rango1,Rango1,Rango1,Rango4
20917,Rango2,Rango1,1,1,272,Rango1,Rango2,Rango1,1,,,,
12498,Rango2,Rango1,1,1,243,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
29865,Rango6,Rango1,0,1,272,Rango1,Rango1,Rango1,1,Rango1,Rango3,Rango1,Rango5
14781,Rango2,Rango1,1,1,270,Rango1,Rango1,Rango1,1,,,,
27185,Rango4,Rango1,1,1,243,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
25403,Rango5,Rango3,1,0,88,Rango1,Rango1,Rango1,0,,,,
5722,Rango5,Rango6,1,1,253,Rango1,Rango2,Rango2,1,Rango3,Rango1,Rango1,Rango1
24896,Rango1,Rango1,1,1,272,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
16346,Rango5,Rango1,0,1,270,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
19292,Rango3,Rango3,1,1,270,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango6
14216,Rango2,Rango3,1,1,272,Rango1,Rango2,Rango1,1,,,,
19321,Rango1,Rango1,0,1,270,Rango1,Rango2,Rango2,1,Rango4,Rango1,Rango1,Rango1
27796,Rango1,,1,1,270,Rango1,Rango1,Rango1,1,,,,
25219,Rango2,Rango1,1,1,253,Rango1,Rango1,Rango1,1,,,,
19852,Rango1,Rango1,0,1,243,Rango1,Rango2,Rango1,1,Rango1,Rango2,Rango1,Rango1
20783,Rango2,Rango2,0,1,77,Rango1,Rango1,Rango1,1,,,,
5593,Rango6,Rango4,1,1,275,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango4
25726,Rango1,Rango1,0,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango3
28126,Rango1,,1,1,283,Rango1,Rango1,Rango1,1,,,,
8832,Rango4,Rango1,1,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
1003,Rango6,,0,1,275,Rango1,Rango1,Rango2,0,,,,
9007,Rango6,Rango3,1,1,257,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango1
8639,Rango5,Rango4,1,1,275,Rango1,Rango1,Rango1,1,Rango5,Rango1,Rango1,Rango5
18458,Rango3,Rango4,1,1,283,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
20837,Rango5,Rango2,0,1,262,Rango1,Rango1,Rango1,1,,,,
21966,Rango2,Rango1,1,1,262,Rango1,Rango1,Rango1,0,,,,
27289,Rango2,Rango1,0,1,262,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
22897,Rango2,Rango2,1,1,262,Rango2,Rango2,Rango1,1,Rango2,Rango1,Rango1,Rango1
26897,Rango1,Rango1,0,1,81,Rango1,Rango1,Rango2,1,Rango1,Rango2,Rango1,Rango1
8886,Rango6,Rango1,0,0,216,Rango1,Rango1,Rango1,1,Rango6,Rango1,Rango1,Rango1
952,Rango6,Rango3,0,1,282,Rango1,Rango1,Rango1,0,,,,
9427,Rango5,Rango3,0,1,281,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango4,Rango1
27095,Rango4,Rango2,0,1,259,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
28622,Rango2,Rango1,0,1,248,Rango1,Rango1,Rango1,1,,,,
23486,Rango2,Rango1,0,1,248,Rango1,Rango2,Rango1,1,Rango1,Rango2,Rango1,Rango1
15817,Rango2,Rango2,1,1,248,Rango1,Rango2,Rango1,1,Rango1,Rango3,Rango1,Rango1
18106,Rango4,Rango5,1,1,248,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
24656,Rango2,Rango2,0,1,248,Rango1,Rango1,Rango1,1,,,,
15911,Rango2,Rango1,0,1,248,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango3,Rango1
390,Rango6,Rango6,1,1,281,Rango1,Rango1,Rango1,1,Rango4,Rango1,Rango1,Rango1
6173,Rango5,Rango3,0,1,248,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango3,Rango1
11501,Rango3,Rango1,0,1,282,Rango1,Rango1,Rango1,1,,,,
26723,Rango2,Rango1,0,0,216,Rango1,Rango2,Rango2,0,Rango1,Rango1,Rango1,Rango1
21829,Rango2,Rango6,1,1,281,Rango2,Rango1,Rango3,1,Rango2,Rango1,Rango1,Rango1
14579,Rango5,Rango6,0,1,248,Rango1,Rango1,Rango1,1,Rango1,Rango4,Rango6,Rango1
4095,Rango5,Rango5,1,1,281,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
6580,Rango6,Rango6,1,1,248,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
20335,Rango6,Rango1,1,1,248,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
9821,Rango5,Rango4,1,1,248,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
21783,Rango1,Rango1,1,1,248,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
8000,Rango5,Rango3,0,1,282,Rango1,Rango2,Rango1,0,Rango1,Rango2,Rango1,Rango1
13437,Rango4,Rango1,0,1,248,Rango1,Rango1,Rango2,0,Rango4,Rango4,Rango1,Rango1
25012,Rango4,Rango3,1,1,248,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
5840,Rango5,Rango5,1,1,282,Rango1,Rango3,Rango2,1,Rango1,Rango1,Rango1,Rango1
21681,Rango1,Rango2,0,1,248,Rango1,Rango1,Rango1,0,,,,
19374,Rango3,Rango2,0,1,282,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
3261,Rango5,Rango6,1,1,262,Rango2,Rango2,Rango2,1,Rango1,Rango5,Rango1,Rango1
893,Rango6,Rango3,0,1,262,Rango1,Rango1,Rango2,0,Rango1,Rango1,Rango1,Rango1
12226,Rango5,Rango3,1,1,262,Rango1,Rango1,Rango2,1,Rango6,Rango4,Rango6,Rango6
23341,Rango6,Rango1,1,1,263,Rango1,Rango2,Rango1,1,,,,
10113,Rango5,Rango2,1,1,246,Rango1,Rango2,Rango2,0,,,,
12139,Rango2,Rango2,0,1,263,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
21458,Rango2,,1,1,262,Rango1,Rango1,Rango2,1,,,,
19774,Rango2,Rango1,0,0,344,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
247,Rango6,Rango3,1,1,262,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango5
15877,Rango5,Rango4,1,1,262,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
2739,Rango6,Rango6,1,0,344,Rango2,Rango1,Rango2,1,Rango4,Rango4,Rango5,Rango6
10362,Rango6,Rango3,1,1,81,Rango1,Rango1,Rango2,0,Rango1,Rango1,Rango1,Rango1
29218,Rango1,,1,1,281,Rango1,Rango1,Rango1,1,,,,
27434,Rango1,Rango1,1,1,282,Rango1,Rango1,Rango2,0,,,,
7764,Rango5,Rango3,1,1,281,Rango1,Rango1,Rango1,1,Rango4,Rango1,Rango5,Rango3
23591,Rango4,Rango1,1,1,248,Rango1,Rango1,Rango1,1,,,,
17229,Rango3,Rango3,1,1,248,Rango1,Rango1,Rango1,1,Rango2,Rango1,Rango1,Rango3
19902,Rango3,Rango2,1,1,248,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
18447,Rango3,Rango3,0,1,281,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
12170,Rango3,Rango2,1,1,282,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
9317,Rango6,Rango6,0,1,281,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
12408,Rango6,Rango6,1,0,191,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango6
3898,Rango6,Rango4,0,0,58,Rango1,Rango2,Rango1,0,Rango1,Rango2,Rango1,Rango1
21036,Rango5,Rango6,1,0,32,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
14747,Rango3,Rango5,0,0,46,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
27241,Rango2,Rango2,0,0,2,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
13974,Rango3,Rango1,1,0,32,Rango1,Rango1,Rango1,0,Rango2,Rango1,Rango1,Rango1
20996,Rango1,Rango1,1,0,345,Rango1,Rango1,Rango1,1,,,,
651,Rango6,Rango1,0,1,247,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
4251,Rango6,Rango6,0,0,345,Rango2,Rango2,Rango1,1,Rango5,Rango2,Rango1,Rango1
8738,Rango5,Rango6,1,1,262,Rango1,Rango1,Rango1,0,Rango4,Rango1,Rango1,Rango1
6537,Rango5,Rango5,0,1,262,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
22518,Rango2,Rango1,0,1,81,Rango1,Rango1,Rango1,1,,,,
15349,Rango4,Rango3,1,0,416,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
12339,Rango4,Rango1,0,1,262,Rango1,Rango2,Rango1,1,Rango1,Rango2,Rango1,Rango1
8419,Rango5,Rango3,1,1,262,Rango2,Rango2,Rango2,1,Rango1,Rango3,Rango1,Rango1
2354,Rango5,Rango2,0,1,262,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango1
24468,Rango4,Rango1,1,1,81,Rango1,Rango2,Rango2,1,,,,
23428,Rango2,Rango2,0,1,81,Rango1,Rango1,Rango1,1,,,,
11428,Rango4,,0,1,262,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango2,Rango1
16156,Rango2,Rango1,0,1,81,Rango1,Rango2,Rango1,1,Rango1,Rango3,Rango1,Rango1
7326,Rango4,Rango6,1,0,344,Rango2,Rango2,Rango2,1,Rango2,Rango1,Rango1,Rango1
12311,Rango3,Rango2,1,0,392,Rango1,Rango1,Rango1,1,,,,
908,Rango6,Rango3,1,1,255,Rango1,Rango1,Rango1,1,Rango6,Rango1,Rango1,Rango1
3831,Rango6,Rango3,0,1,304,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango6
12918,Rango4,Rango1,1,0,60,Rango1,Rango1,Rango1,1,,,,
7000,Rango4,Rango3,1,0,151,Rango1,Rango1,Rango2,1,Rango2,Rango1,Rango1,Rango1
5575,Rango6,Rango1,0,1,271,Rango1,Rango1,Rango1,0,,,,
10709,Rango3,Rango1,0,0,118,Rango1,Rango1,Rango1,0,,,,
28682,Rango3,Rango2,0,1,254,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango5
12822,Rango2,Rango1,0,0,320,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
11424,Rango3,Rango1,1,1,256,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
3368,Rango6,Rango6,0,0,178,Rango1,Rango2,Rango3,1,Rango1,Rango1,Rango1,Rango2
18642,Rango3,Rango6,1,1,256,Rango1,Rango1,Rango1,1,Rango1,Rango4,Rango1,Rango1
8281,Rango2,Rango1,1,0,320,Rango1,Rango2,Rango1,1,Rango5,Rango1,Rango1,Rango1
2229,Rango5,Rango3,0,1,254,Rango1,Rango2,Rango1,1,Rango5,Rango2,Rango1,Rango6
20746,Rango1,Rango2,0,1,78,Rango1,Rango2,Rango1,1,,,,
17588,Rango2,Rango2,0,1,275,Rango1,Rango1,Rango1,1,,,,
24136,Rango2,Rango3,0,1,257,Rango1,Rango2,Rango1,1,Rango2,Rango2,Rango1,Rango1
11795,Rango3,Rango2,0,1,283,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango1
9182,Rango3,Rango1,0,1,275,Rango1,Rango2,Rango1,0,Rango3,Rango1,Rango1,Rango1
22341,Rango2,Rango1,0,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
13635,Rango4,Rango1,0,1,283,Rango1,Rango1,Rango1,1,Rango1,Rango3,Rango1,Rango3
27723,Rango6,Rango2,0,1,257,Rango1,Rango1,Rango1,1,Rango3,Rango2,Rango1,Rango1
21804,Rango3,Rango1,1,0,349,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
10371,Rango5,Rango2,1,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
22673,Rango5,Rango1,0,1,244,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
12926,Rango3,Rango1,0,1,283,Rango1,Rango2,Rango2,1,Rango6,Rango2,Rango1,Rango2
17692,Rango2,Rango2,1,1,283,Rango1,Rango1,Rango2,0,,,,
24106,Rango6,Rango1,0,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango2,Rango1,Rango2
18373,Rango4,Rango1,1,1,257,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango1
19084,Rango5,Rango1,1,1,257,Rango1,Rango2,Rango1,1,Rango2,Rango2,Rango1,Rango1
5822,Rango6,Rango6,0,1,254,Rango1,Rango1,Rango1,1,,,,
15198,Rango3,Rango1,0,1,76,Rango2,Rango1,Rango2,1,Rango4,Rango1,Rango1,Rango3
5651,Rango5,Rango6,0,1,284,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
19391,Rango5,Rango2,1,0,212,Rango1,Rango2,Rango1,1,Rango1,Rango3,Rango1,Rango5
4608,Rango4,Rango4,1,1,250,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
15128,Rango5,Rango3,1,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango3
4873,Rango6,Rango4,1,1,275,Rango1,Rango1,Rango1,0,,,,
22395,Rango1,Rango1,1,1,283,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
14836,Rango4,Rango1,0,1,283,Rango1,Rango1,Rango1,0,,,,
20456,Rango2,Rango4,0,1,275,Rango1,Rango1,Rango1,1,Rango5,Rango3,Rango3,Rango3
29347,Rango2,Rango3,0,1,275,Rango1,Rango1,Rango1,1,,,,
11824,Rango3,Rango4,0,1,283,Rango1,Rango1,Rango1,1,,,,
12594,Rango5,Rango6,0,1,257,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
10991,Rango2,Rango4,1,1,257,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango6
23400,Rango2,Rango1,1,1,283,Rango1,Rango2,Rango2,1,,,,
21390,Rango2,Rango6,1,1,244,Rango1,Rango1,Rango2,1,Rango2,Rango1,Rango1,Rango1
8864,Rango3,Rango2,1,1,257,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
9939,Rango3,Rango6,1,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
11022,Rango5,Rango1,0,1,257,Rango1,Rango1,Rango1,0,Rango1,Rango5,Rango1,Rango1
2576,Rango5,Rango4,1,1,257,Rango1,Rango1,Rango1,1,Rango1,Rango4,Rango1,Rango1
20050,Rango1,Rango1,0,1,283,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
4670,Rango6,Rango1,1,1,271,Rango1,Rango1,Rango1,1,Rango6,Rango1,Rango1,Rango2
26158,Rango1,,0,1,255,Rango1,Rango1,Rango1,0,,,,
17155,Rango2,Rango1,0,1,271,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
4157,Rango5,Rango3,1,0,114,Rango1,Rango1,Rango1,1,Rango1,Rango2,Rango1,Rango1
27322,Rango1,Rango2,1,1,79,Rango1,Rango1,Rango2,0,,,,
26389,Rango4,,0,1,271,Rango1,Rango1,Rango1,0,,,,
1871,Rango5,Rango6,0,0,60,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango2,Rango1
27779,Rango1,,0,1,255,Rango1,Rango1,Rango1,1,,,,
2717,Rango6,Rango4,1,1,255,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
644,Rango6,Rango1,0,1,271,Rango1,Rango2,Rango1,1,Rango2,Rango1,Rango6,Rango6
4139,Rango5,Rango4,0,1,255,Rango2,Rango1,Rango2,0,Rango2,Rango1,Rango1,Rango1
9146,Rango6,,0,1,271,Rango1,Rango1,Rango1,1,,,,
25450,Rango5,,1,1,271,Rango1,Rango1,Rango2,1,,,,
2762,Rango6,Rango3,0,1,271,Rango1,Rango1,Rango1,1,Rango3,Rango1,Rango1,Rango1
4292,Rango6,Rango6,1,1,271,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
2827,Rango5,Rango6,1,0,60,Rango1,Rango2,Rango2,0,Rango1,Rango1,Rango1,Rango1
8887,Rango6,Rango2,1,1,271,Rango1,Rango1,Rango2,1,Rango1,Rango5,Rango1,Rango1
13468,Rango3,Rango6,0,1,271,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
4898,Rango6,Rango1,1,1,255,Rango1,Rango1,Rango2,1,,,,
6123,Rango5,Rango3,1,1,304,Rango2,Rango2,Rango1,1,Rango2,Rango1,Rango1,Rango5
19521,Rango3,Rango1,1,1,255,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
7998,Rango6,Rango6,0,1,79,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
12531,Rango2,Rango2,1,1,79,Rango1,Rango2,Rango1,1,Rango2,Rango1,Rango1,Rango1
26564,Rango5,Rango2,1,1,281,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
27379,Rango6,Rango1,0,1,282,Rango1,Rango2,Rango1,1,,,,
18192,Rango4,Rango2,0,1,263,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
23488,Rango6,Rango2,0,1,246,Rango1,Rango1,Rango1,0,,,,
8789,Rango6,Rango3,1,0,221,Rango1,Rango1,Rango2,1,,,,
712,Rango4,Rango1,1,1,262,Rango2,Rango2,Rango2,1,Rango6,Rango4,Rango6,Rango6
16133,Rango3,Rango6,0,0,60,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
7742,Rango5,Rango1,1,0,226,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
26722,Rango2,Rango1,0,1,255,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango2
1879,Rango5,Rango6,1,1,79,Rango1,Rango2,Rango1,1,Rango6,Rango1,Rango1,Rango1
1571,Rango6,Rango1,0,1,271,Rango1,Rango1,Rango1,1,Rango1,Rango2,Rango1,Rango1
3077,Rango4,Rango6,1,1,271,Rango1,Rango1,Rango3,1,Rango6,Rango1,Rango6,Rango1
7519,Rango3,Rango4,1,1,255,Rango1,Rango3,Rango1,1,Rango1,Rango5,Rango2,Rango2
6259,Rango2,Rango3,0,1,271,Rango1,Rango1,Rango1,1,Rango4,Rango4,Rango6,Rango1
18177,Rango3,Rango1,0,1,243,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
21250,Rango2,Rango2,0,1,270,Rango2,Rango2,Rango2,1,Rango5,Rango1,Rango1,Rango1
17790,Rango5,Rango1,1,0,357,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
11260,Rango4,Rango1,0,1,272,Rango1,Rango1,Rango1,1,,,,
9357,Rango5,Rango2,0,1,275,Rango1,Rango2,Rango1,1,Rango2,Rango2,Rango1,Rango1
4799,Rango5,Rango6,1,0,148,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
13833,Rango3,Rango1,0,1,275,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
17932,Rango2,Rango3,1,1,257,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
24196,Rango5,Rango1,0,0,148,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango5
29288,Rango3,Rango1,1,1,275,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
6837,Rango5,Rango6,1,1,283,Rango1,Rango1,Rango2,1,Rango1,Rango1,Rango1,Rango1
12817,Rango3,Rango3,1,1,283,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
29100,Rango2,Rango1,1,1,275,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango1
20406,Rango3,Rango1,1,1,257,Rango1,Rango1,Rango1,1,,,,
2701,Rango5,Rango1,1,1,244,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
25840,Rango1,Rango3,0,1,257,Rango1,Rango1,Rango2,1,Rango4,Rango1,Rango1,Rango1
2695,Rango6,,1,1,272,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
9471,Rango6,Rango2,1,1,270,Rango1,Rango2,Rango1,0,Rango1,Rango1,Rango1,Rango1
4315,Rango5,Rango1,1,1,272,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
24709,Rango2,Rango2,0,0,405,Rango1,Rango2,Rango1,1,Rango4,Rango1,Rango1,Rango1
18326,Rango4,Rango2,0,1,243,Rango1,Rango2,Rango2,0,Rango3,Rango1,Rango1,Rango2
3231,Rango6,Rango6,1,1,77,Rango2,Rango2,Rango1,0,Rango1,Rango2,Rango1,Rango1
1798,Rango5,Rango1,1,0,405,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
8039,Rango6,Rango4,0,1,253,Rango1,Rango2,Rango1,1,Rango1,Rango2,Rango1,Rango1
6165,Rango5,Rango6,1,1,261,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
4014,Rango6,Rango6,1,1,280,Rango1,Rango2,Rango2,1,Rango2,Rango1,Rango1,Rango1
2533,Rango6,Rango5,0,1,280,Rango1,Rango1,Rango1,0,,,,
2025,Rango6,Rango4,0,1,280,Rango1,Rango1,Rango2,0,Rango1,Rango1,Rango1,Rango1
11886,Rango2,Rango3,0,1,280,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
5764,Rango5,Rango3,0,1,280,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
4975,Rango6,Rango1,1,1,280,Rango1,Rango1,Rango1,1,Rango6,Rango1,Rango1,Rango1
9202,Rango6,Rango6,1,1,280,Rango2,Rango2,Rango2,1,Rango3,Rango5,Rango2,Rango5
24636,Rango2,Rango2,0,1,280,Rango1,Rango1,Rango1,1,,,,
28861,Rango2,Rango1,1,0,23,Rango1,Rango1,Rango1,1,,,,
1599,Rango1,Rango1,0,1,280,Rango1,Rango1,Rango1,0,Rango4,Rango1,Rango4,Rango1
25488,Rango1,Rango1,0,1,280,Rango1,Rango1,Rango1,1,,,,
2488,Rango6,Rango3,1,1,280,Rango1,Rango1,Rango1,1,Rango1,Rango5,Rango1,Rango1
11083,Rango3,Rango5,1,1,280,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango6,Rango6
302,Rango6,Rango5,1,1,280,Rango1,Rango1,Rango2,0,Rango1,Rango1,Rango1,Rango1
2896,Rango5,Rango4,1,1,261,Rango1,Rango1,Rango2,1,Rango6,Rango1,Rango1,Rango6
29417,Rango1,Rango1,0,0,350,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
20556,Rango1,Rango1,0,1,280,Rango1,Rango1,Rango1,1,,,,
